Model,k,Initialization_Method,Measure,Mean,SE,n_seeds,Seeds_Used,Values_Aggregated
IWAE,1,KaimingNormal,Test_Activity,14.2,0.19999999999999998,5,"135, 630, 924, 10, 32","14.000000, 14.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,KaimingNormal,Test_KL,22.416707611083986,0.20092623262873283,5,"135, 630, 924, 10, 32","22.255722, 22.374760, 22.175163, 23.196901, 22.080992"
IWAE,1,KaimingNormal,Test_NLL,74.75994110107422,0.24580081837443166,5,"135, 630, 924, 10, 32","75.023979, 74.899239, 75.121185, 73.787544, 74.967758"
IWAE,1,KaimingNormal,Test_NLL+KL,97.17664947509766,0.06622912812338808,5,"135, 630, 924, 10, 32","97.279701, 97.274002, 97.296349, 96.984444, 97.048752"
IWAE,1,KaimingNormal,Training_Activity,14.2,0.19999999999999998,5,"135, 630, 924, 10, 32","14.000000, 14.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,KaimingNormal,Training_KL,22.479211044311523,0.1525569779704665,5,"135, 630, 924, 10, 32","22.396622, 22.242380, 22.398300, 23.076796, 22.281958"
IWAE,1,KaimingNormal,Training_NLL,74.64360809326172,0.20599452092022916,5,"135, 630, 924, 10, 32","74.972427, 74.984306, 74.792755, 73.868813, 74.599739"
IWAE,1,KaimingNormal,Training_NLL+KL,97.12281951904296,0.09099877856713816,5,"135, 630, 924, 10, 32","97.369049, 97.226685, 97.191055, 96.945610, 96.881699"
IWAE,1,KaimingUni,Test_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
IWAE,1,KaimingUni,Test_KL,22.874388885498046,0.052087668675396034,5,"135, 630, 924, 10, 32","22.769083, 22.789194, 22.903620, 22.850008, 23.060040"
IWAE,1,KaimingUni,Test_NLL,74.37182312011718,0.11795061712510717,5,"135, 630, 924, 10, 32","74.415977, 74.697647, 74.504654, 74.234619, 74.006218"
IWAE,1,KaimingUni,Test_NLL+KL,97.24620971679687,0.08555696708366332,5,"135, 630, 924, 10, 32","97.185059, 97.486839, 97.408272, 97.084625, 97.066254"
IWAE,1,KaimingUni,Training_Activity,14.8,0.19999999999999998,5,"135, 630, 924, 10, 32","15.000000, 14.000000, 15.000000, 15.000000, 15.000000"
IWAE,1,KaimingUni,Training_KL,22.93476791381836,0.12939075101563316,5,"135, 630, 924, 10, 32","23.031082, 22.424015, 23.143120, 23.042711, 23.032911"
IWAE,1,KaimingUni,Training_NLL,74.09306030273437,0.2127260132717324,5,"135, 630, 924, 10, 32","74.015236, 74.925560, 73.908997, 73.739723, 73.875786"
IWAE,1,KaimingUni,Training_NLL+KL,97.0278305053711,0.0945680474685542,5,"135, 630, 924, 10, 32","97.046318, 97.349579, 97.052116, 96.782440, 96.908699"
IWAE,1,XavierNormal,Test_Activity,14.4,0.24494897427831783,5,"135, 630, 924, 10, 32","14.000000, 15.000000, 14.000000, 15.000000, 14.000000"
IWAE,1,XavierNormal,Test_KL,22.50702819824219,0.10475628287582746,5,"135, 630, 924, 10, 32","22.277813, 22.780924, 22.516108, 22.692741, 22.267555"
