step,value,wall_time,timestamp,seed,model,run_name
1,50.0,1751855053.20516,2025-07-07 04:24:13.205160,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
2,50.0,1751855128.8590844,2025-07-07 04:25:28.859084,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
3,50.0,1751855205.6767986,2025-07-07 04:26:45.676799,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
4,50.0,1751855282.207734,2025-07-07 04:28:02.207734,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
5,43.0,1751855358.8436887,2025-07-07 04:29:18.843689,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
6,37.0,1751855434.9751968,2025-07-07 04:30:34.975197,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
7,35.0,1751855512.3824198,2025-07-07 04:31:52.382420,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
8,34.0,1751855590.4941516,2025-07-07 04:33:10.494152,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
9,30.0,1751855667.138982,2025-07-07 04:34:27.138982,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
10,29.0,1751855743.3200612,2025-07-07 04:35:43.320061,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
11,26.0,1751855844.7379448,2025-07-07 04:37:24.737945,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
12,25.0,1751855921.1690476,2025-07-07 04:38:41.169048,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
13,24.0,1751855998.1214917,2025-07-07 04:39:58.121492,135,IWAE,IWAE_experiment_20250707_024643_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_135
