step,value,wall_time,timestamp,seed,model,run_name
1,50.0,1752621281.8981662,2025-07-16 01:14:41.898166,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
2,50.0,1752621351.356731,2025-07-16 01:15:51.356731,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
3,48.0,1752621420.9671164,2025-07-16 01:17:00.967116,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
4,42.0,1752621491.2207458,2025-07-16 01:18:11.220746,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
5,31.0,1752621561.6615138,2025-07-16 01:19:21.661514,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
6,18.0,1752621631.6023598,2025-07-16 01:20:31.602360,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
7,16.0,1752621701.2287188,2025-07-16 01:21:41.228719,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
8,15.0,1752621770.986182,2025-07-16 01:22:50.986182,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
9,15.0,1752621841.1915658,2025-07-16 01:24:01.191566,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
10,15.0,1752621911.8475127,2025-07-16 01:25:11.847513,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
11,15.0,1752621982.3686817,2025-07-16 01:26:22.368682,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
12,15.0,1752622053.035431,2025-07-16 01:27:33.035431,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
13,15.0,1752622123.9145494,2025-07-16 01:28:43.914549,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
14,15.0,1752622194.5744274,2025-07-16 01:29:54.574427,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
15,15.0,1752622264.6820114,2025-07-16 01:31:04.682011,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
16,15.0,1752622335.1201432,2025-07-16 01:32:15.120143,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
17,15.0,1752622405.5188327,2025-07-16 01:33:25.518833,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
18,15.0,1752622476.4130073,2025-07-16 01:34:36.413007,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
19,15.0,1752622546.7710147,2025-07-16 01:35:46.771015,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
20,15.0,1752622616.8877861,2025-07-16 01:36:56.887786,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
21,15.0,1752622686.347183,2025-07-16 01:38:06.347183,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
22,15.0,1752622756.274593,2025-07-16 01:39:16.274593,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
23,15.0,1752622826.6340916,2025-07-16 01:40:26.634092,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
24,15.0,1752622896.6966832,2025-07-16 01:41:36.696683,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
25,15.0,1752622966.2914648,2025-07-16 01:42:46.291465,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
26,15.0,1752623036.1937547,2025-07-16 01:43:56.193755,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
27,15.0,1752623106.5118556,2025-07-16 01:45:06.511856,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
28,15.0,1752623176.499387,2025-07-16 01:46:16.499387,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
29,15.0,1752623246.6089725,2025-07-16 01:47:26.608973,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
30,15.0,1752623315.6594443,2025-07-16 01:48:35.659444,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
31,15.0,1752623385.8224916,2025-07-16 01:49:45.822492,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
32,15.0,1752623455.3788218,2025-07-16 01:50:55.378822,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
33,15.0,1752623525.0685742,2025-07-16 01:52:05.068574,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
34,15.0,1752623593.8144164,2025-07-16 01:53:13.814416,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
35,15.0,1752623663.7619088,2025-07-16 01:54:23.761909,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
36,15.0,1752623733.7457845,2025-07-16 01:55:33.745785,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
37,15.0,1752623803.5265753,2025-07-16 01:56:43.526575,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
38,15.0,1752623873.981448,2025-07-16 01:57:53.981448,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
39,15.0,1752623944.9493206,2025-07-16 01:59:04.949321,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
40,15.0,1752624016.0054815,2025-07-16 02:00:16.005481,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
41,15.0,1752624086.494629,2025-07-16 02:01:26.494629,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
42,15.0,1752624157.4949203,2025-07-16 02:02:37.494920,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
43,15.0,1752624227.2641897,2025-07-16 02:03:47.264190,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
44,15.0,1752624297.8666265,2025-07-16 02:04:57.866627,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
45,15.0,1752624368.96973,2025-07-16 02:06:08.969730,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
46,15.0,1752624440.5017745,2025-07-16 02:07:20.501775,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
47,15.0,1752624511.3011935,2025-07-16 02:08:31.301193,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
48,15.0,1752624581.539807,2025-07-16 02:09:41.539807,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
49,15.0,1752624651.7919014,2025-07-16 02:10:51.791901,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
50,15.0,1752624722.0463336,2025-07-16 02:12:02.046334,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
51,15.0,1752624791.0782895,2025-07-16 02:13:11.078290,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
52,15.0,1752624860.6660857,2025-07-16 02:14:20.666086,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
53,15.0,1752624930.1877236,2025-07-16 02:15:30.187724,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
54,15.0,1752624999.8064566,2025-07-16 02:16:39.806457,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
55,15.0,1752625070.7988338,2025-07-16 02:17:50.798834,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
56,15.0,1752625140.6834836,2025-07-16 02:19:00.683484,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
57,15.0,1752625210.2893598,2025-07-16 02:20:10.289360,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
58,15.0,1752625280.178266,2025-07-16 02:21:20.178266,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
