step,value,wall_time,timestamp,seed,model,run_name
1,50.0,1752610511.8535357,2025-07-15 22:15:11.853536,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
2,50.0,1752610581.617434,2025-07-15 22:16:21.617434,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
3,48.0,1752610651.1876352,2025-07-15 22:17:31.187635,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
4,47.0,1752610721.0939088,2025-07-15 22:18:41.093909,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
5,45.0,1752610790.8066256,2025-07-15 22:19:50.806626,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
6,34.0,1752610860.7445526,2025-07-15 22:21:00.744553,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
7,23.0,1752610930.891684,2025-07-15 22:22:10.891684,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
8,15.0,1752611000.9456892,2025-07-15 22:23:20.945689,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
9,14.0,1752611070.6681774,2025-07-15 22:24:30.668177,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
10,14.0,1752611141.8650365,2025-07-15 22:25:41.865036,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
11,14.0,1752611211.8875725,2025-07-15 22:26:51.887573,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
12,14.0,1752611282.0781217,2025-07-15 22:28:02.078122,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
13,14.0,1752611352.0532455,2025-07-15 22:29:12.053246,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
14,14.0,1752611421.7891681,2025-07-15 22:30:21.789168,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
15,14.0,1752611492.1948612,2025-07-15 22:31:32.194861,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
16,14.0,1752611561.5880187,2025-07-15 22:32:41.588019,924,IWAE,IWAE_experiment_20250715_204817_IWAE_0.001_80_20_0.01_50_1_XavierNormal_924
