step,value,wall_time,timestamp,seed,model,run_name
1,50.0,1751929727.2051396,2025-07-08 01:08:47.205140,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
2,45.0,1751929796.5154762,2025-07-08 01:09:56.515476,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
3,17.0,1751929865.7457297,2025-07-08 01:11:05.745730,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
4,22.0,1751929935.0274081,2025-07-08 01:12:15.027408,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
5,23.0,1751930004.218621,2025-07-08 01:13:24.218621,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
6,16.0,1751930073.9499536,2025-07-08 01:14:33.949954,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
7,20.0,1751930143.353561,2025-07-08 01:15:43.353561,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
8,25.0,1751930212.7856433,2025-07-08 01:16:52.785643,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
9,26.0,1751930282.9078727,2025-07-08 01:18:02.907873,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
10,27.0,1751930352.216321,2025-07-08 01:19:12.216321,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
11,22.0,1751930445.940928,2025-07-08 01:20:45.940928,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
12,21.0,1751930515.3030667,2025-07-08 01:21:55.303067,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
13,16.0,1751930584.967033,2025-07-08 01:23:04.967033,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
14,16.0,1751930654.879305,2025-07-08 01:24:14.879305,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
15,16.0,1751930723.8263526,2025-07-08 01:25:23.826353,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
16,16.0,1751930792.3836768,2025-07-08 01:26:32.383677,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
17,16.0,1751930861.282254,2025-07-08 01:27:41.282254,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
18,16.0,1751930930.0382702,2025-07-08 01:28:50.038270,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
19,16.0,1751930999.3944619,2025-07-08 01:29:59.394462,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
20,16.0,1751931068.5184634,2025-07-08 01:31:08.518463,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
21,16.0,1751931160.8685234,2025-07-08 01:32:40.868523,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
22,16.0,1751931230.3588173,2025-07-08 01:33:50.358817,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
23,16.0,1751931299.7229295,2025-07-08 01:34:59.722929,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
24,16.0,1751931370.0222132,2025-07-08 01:36:10.022213,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
25,16.0,1751931440.2862027,2025-07-08 01:37:20.286203,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
26,16.0,1751931509.6550875,2025-07-08 01:38:29.655087,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
27,16.0,1751931578.434683,2025-07-08 01:39:38.434683,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
28,16.0,1751931646.7761717,2025-07-08 01:40:46.776172,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
29,16.0,1751931715.543049,2025-07-08 01:41:55.543049,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
30,16.0,1751931785.7235415,2025-07-08 01:43:05.723541,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
31,16.0,1751931878.1433098,2025-07-08 01:44:38.143310,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
32,16.0,1751931947.5707881,2025-07-08 01:45:47.570788,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
33,16.0,1751932017.3384752,2025-07-08 01:46:57.338475,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
34,16.0,1751932086.7224898,2025-07-08 01:48:06.722490,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
35,16.0,1751932156.6979089,2025-07-08 01:49:16.697909,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
36,16.0,1751932226.7650404,2025-07-08 01:50:26.765040,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
37,16.0,1751932296.50668,2025-07-08 01:51:36.506680,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
38,16.0,1751932365.7188447,2025-07-08 01:52:45.718845,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
39,16.0,1751932434.7308502,2025-07-08 01:53:54.730850,630,VAE,VAE_experiment_20250708_010744_VAE_0.001_80_20_0.01_50_5_XavierUni_630
