step,value,wall_time,timestamp,seed,model,run_name
1,47.0,1752739290.9834166,2025-07-17 10:01:30.983417,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
2,30.0,1752739360.1020916,2025-07-17 10:02:40.102092,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
3,28.0,1752739429.0278378,2025-07-17 10:03:49.027838,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
4,29.0,1752739498.9029648,2025-07-17 10:04:58.902965,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
5,29.0,1752739568.0433838,2025-07-17 10:06:08.043384,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
6,21.0,1752739637.03952,2025-07-17 10:07:17.039520,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
7,15.0,1752739706.1022422,2025-07-17 10:08:26.102242,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
8,15.0,1752739776.1250718,2025-07-17 10:09:36.125072,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
9,15.0,1752739845.3954158,2025-07-17 10:10:45.395416,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
10,15.0,1752739914.8735209,2025-07-17 10:11:54.873521,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
11,15.0,1752739984.7153962,2025-07-17 10:13:04.715396,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
12,15.0,1752740055.1167223,2025-07-17 10:14:15.116722,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
13,15.0,1752740124.384275,2025-07-17 10:15:24.384275,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
14,15.0,1752740193.4338355,2025-07-17 10:16:33.433836,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
15,15.0,1752740262.7880766,2025-07-17 10:17:42.788077,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
16,15.0,1752740332.344782,2025-07-17 10:18:52.344782,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
17,15.0,1752740401.9160705,2025-07-17 10:20:01.916070,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
18,15.0,1752740471.1308405,2025-07-17 10:21:11.130841,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
19,15.0,1752740540.5294569,2025-07-17 10:22:20.529457,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
20,15.0,1752740609.607379,2025-07-17 10:23:29.607379,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
21,15.0,1752740678.4147003,2025-07-17 10:24:38.414700,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
22,15.0,1752740747.338364,2025-07-17 10:25:47.338364,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
23,15.0,1752740817.387744,2025-07-17 10:26:57.387744,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
24,15.0,1752740886.6447592,2025-07-17 10:28:06.644759,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
25,15.0,1752740956.8356855,2025-07-17 10:29:16.835685,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
26,15.0,1752741026.510855,2025-07-17 10:30:26.510855,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
27,15.0,1752741096.3730743,2025-07-17 10:31:36.373074,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
28,15.0,1752741166.126219,2025-07-17 10:32:46.126219,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
29,15.0,1752741235.1638718,2025-07-17 10:33:55.163872,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
30,15.0,1752741304.6977243,2025-07-17 10:35:04.697724,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
31,15.0,1752741374.2316256,2025-07-17 10:36:14.231626,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
32,15.0,1752741442.878327,2025-07-17 10:37:22.878327,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
33,15.0,1752741512.4621778,2025-07-17 10:38:32.462178,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
34,15.0,1752741581.5522254,2025-07-17 10:39:41.552225,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
35,15.0,1752741650.6752098,2025-07-17 10:40:50.675210,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
36,15.0,1752741720.5153604,2025-07-17 10:42:00.515360,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
37,15.0,1752741789.9614737,2025-07-17 10:43:09.961474,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
38,15.0,1752741859.9757605,2025-07-17 10:44:19.975760,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
39,15.0,1752741929.2805033,2025-07-17 10:45:29.280503,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
40,15.0,1752741998.539849,2025-07-17 10:46:38.539849,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
41,15.0,1752742068.327639,2025-07-17 10:47:48.327639,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
42,15.0,1752742137.8976057,2025-07-17 10:48:57.897606,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
43,15.0,1752742207.7059042,2025-07-17 10:50:07.705904,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
44,15.0,1752742276.7756348,2025-07-17 10:51:16.775635,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
45,15.0,1752742346.215129,2025-07-17 10:52:26.215129,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
46,15.0,1752742415.6599154,2025-07-17 10:53:35.659915,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
47,15.0,1752742485.0674548,2025-07-17 10:54:45.067455,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
48,15.0,1752742554.8678849,2025-07-17 10:55:54.867885,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
49,15.0,1752742624.4497747,2025-07-17 10:57:04.449775,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
50,15.0,1752742694.198312,2025-07-17 10:58:14.198312,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
51,15.0,1752742764.1083481,2025-07-17 10:59:24.108348,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
52,15.0,1752742833.9624827,2025-07-17 11:00:33.962483,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
53,15.0,1752742903.6450517,2025-07-17 11:01:43.645052,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
54,15.0,1752742973.2297313,2025-07-17 11:02:53.229731,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
55,15.0,1752743042.629006,2025-07-17 11:04:02.629006,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
56,15.0,1752743112.2082949,2025-07-17 11:05:12.208295,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
57,15.0,1752743181.1986635,2025-07-17 11:06:21.198663,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
58,15.0,1752743250.6504738,2025-07-17 11:07:30.650474,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
59,15.0,1752743319.6966734,2025-07-17 11:08:39.696673,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
60,15.0,1752743389.6132808,2025-07-17 11:09:49.613281,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
61,15.0,1752743460.0425575,2025-07-17 11:11:00.042557,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
62,15.0,1752743529.4359627,2025-07-17 11:12:09.435963,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
63,15.0,1752743599.198223,2025-07-17 11:13:19.198223,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
64,15.0,1752743669.7516649,2025-07-17 11:14:29.751665,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
65,15.0,1752743739.3476582,2025-07-17 11:15:39.347658,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
66,15.0,1752743809.1801808,2025-07-17 11:16:49.180181,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
67,15.0,1752743878.9061725,2025-07-17 11:17:58.906173,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
68,15.0,1752743948.4240758,2025-07-17 11:19:08.424076,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
69,15.0,1752744017.794765,2025-07-17 11:20:17.794765,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
70,15.0,1752744087.3222067,2025-07-17 11:21:27.322207,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
71,15.0,1752744156.8105485,2025-07-17 11:22:36.810549,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
72,15.0,1752744225.988208,2025-07-17 11:23:45.988208,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
73,15.0,1752744296.107066,2025-07-17 11:24:56.107066,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
74,15.0,1752744366.5396857,2025-07-17 11:26:06.539686,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
75,15.0,1752744435.8383293,2025-07-17 11:27:15.838329,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
76,15.0,1752744505.8078926,2025-07-17 11:28:25.807893,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
77,15.0,1752744575.890213,2025-07-17 11:29:35.890213,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
78,15.0,1752744645.9309964,2025-07-17 11:30:45.930996,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
79,15.0,1752744714.987655,2025-07-17 11:31:54.987655,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
80,15.0,1752744784.483071,2025-07-17 11:33:04.483071,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
