step,value,wall_time,timestamp,seed,model,run_name
1,49.0,1752853799.2559588,2025-07-18 17:49:59.255959,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
2,41.0,1752853870.6083155,2025-07-18 17:51:10.608315,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
3,22.0,1752853941.4516072,2025-07-18 17:52:21.451607,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
4,15.0,1752854012.9875941,2025-07-18 17:53:32.987594,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
5,14.0,1752854084.0124435,2025-07-18 17:54:44.012444,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
6,14.0,1752854154.9832628,2025-07-18 17:55:54.983263,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
7,14.0,1752854225.7486162,2025-07-18 17:57:05.748616,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
8,14.0,1752854296.624576,2025-07-18 17:58:16.624576,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
9,14.0,1752854366.9152663,2025-07-18 17:59:26.915266,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
10,14.0,1752854437.155103,2025-07-18 18:00:37.155103,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
11,14.0,1752854507.4840415,2025-07-18 18:01:47.484041,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
12,14.0,1752854577.9905305,2025-07-18 18:02:57.990530,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
13,14.0,1752854648.9094532,2025-07-18 18:04:08.909453,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
14,14.0,1752854720.0627494,2025-07-18 18:05:20.062749,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
15,14.0,1752854791.6852086,2025-07-18 18:06:31.685209,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
16,14.0,1752854862.7763968,2025-07-18 18:07:42.776397,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
17,14.0,1752854933.8014088,2025-07-18 18:08:53.801409,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
18,14.0,1752855005.4135306,2025-07-18 18:10:05.413531,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
19,14.0,1752855076.310698,2025-07-18 18:11:16.310698,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
20,14.0,1752855147.3724992,2025-07-18 18:12:27.372499,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
21,14.0,1752855218.092675,2025-07-18 18:13:38.092675,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
22,14.0,1752855288.8551776,2025-07-18 18:14:48.855178,32,VAE,VAE_experiment_20250718_174855_VAE_0.001_80_20_0.01_50_5_KaimingNormal_32
