step,value,wall_time,timestamp,seed,model,run_name
1,48.0,1752841906.049698,2025-07-18 14:31:46.049698,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
2,34.0,1752841977.1423059,2025-07-18 14:32:57.142306,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
3,17.0,1752842047.814328,2025-07-18 14:34:07.814328,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
4,27.0,1752842118.1553652,2025-07-18 14:35:18.155365,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
5,29.0,1752842188.4847386,2025-07-18 14:36:28.484739,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
6,29.0,1752842259.0483406,2025-07-18 14:37:39.048341,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
7,17.0,1752842329.1874554,2025-07-18 14:38:49.187455,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
8,17.0,1752842399.5773392,2025-07-18 14:39:59.577339,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
9,17.0,1752842470.1778412,2025-07-18 14:41:10.177841,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
10,17.0,1752842540.6808617,2025-07-18 14:42:20.680862,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
11,17.0,1752842611.1536682,2025-07-18 14:43:31.153668,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
12,17.0,1752842682.1521466,2025-07-18 14:44:42.152147,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
13,17.0,1752842752.8211102,2025-07-18 14:45:52.821110,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
14,17.0,1752842822.993379,2025-07-18 14:47:02.993379,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
15,17.0,1752842893.5926578,2025-07-18 14:48:13.592658,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
16,17.0,1752842963.0293126,2025-07-18 14:49:23.029313,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
