step,value,wall_time,timestamp,seed,model,run_name
1,0.6157991290092468,1751784588.206927,2025-07-06 08:49:48.206927,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
2,0.16163046658039093,1751784658.7556,2025-07-06 08:50:58.755600,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
3,0.15041804313659668,1751784728.44484,2025-07-06 08:52:08.444840,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
4,0.14128047227859497,1751784798.8284924,2025-07-06 08:53:18.828492,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
5,0.13663163781166077,1751784869.4885764,2025-07-06 08:54:29.488576,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
6,0.12781856954097748,1751784940.4912477,2025-07-06 08:55:40.491248,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
7,0.12778101861476898,1751785011.354054,2025-07-06 08:56:51.354054,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
8,0.13126498460769653,1751785082.5804663,2025-07-06 08:58:02.580466,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
9,0.12687258422374725,1751785152.9006257,2025-07-06 08:59:12.900626,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
10,0.12438292056322098,1751785223.0130775,2025-07-06 09:00:23.013077,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
11,0.12272665649652481,1751785316.1511824,2025-07-06 09:01:56.151182,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
12,0.12321022897958755,1751785386.7961528,2025-07-06 09:03:06.796153,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
13,0.12410111725330353,1751785456.2763972,2025-07-06 09:04:16.276397,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
14,0.12011148035526276,1751785528.185426,2025-07-06 09:05:28.185426,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
15,0.11999806761741638,1751785595.0756776,2025-07-06 09:06:35.075678,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
16,0.1216617077589035,1751785666.674479,2025-07-06 09:07:46.674479,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
17,0.12022844702005386,1751785738.145798,2025-07-06 09:08:58.145798,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
18,0.11844343692064285,1751785806.045343,2025-07-06 09:10:06.045343,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
19,0.12109438329935074,1751785876.4783661,2025-07-06 09:11:16.478366,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
20,0.1184525117278099,1751785946.6060474,2025-07-06 09:12:26.606047,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
21,0.11919758468866348,1751786040.1116939,2025-07-06 09:14:00.111694,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
22,0.11580423265695572,1751786110.3409715,2025-07-06 09:15:10.340971,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
23,0.11818112432956696,1751786180.110799,2025-07-06 09:16:20.110799,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
24,0.11591150611639023,1751786250.1862571,2025-07-06 09:17:30.186257,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
25,0.11442719399929047,1751786321.1108015,2025-07-06 09:18:41.110801,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
26,0.11829917877912521,1751786391.3441417,2025-07-06 09:19:51.344142,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
27,0.11590737104415894,1751786461.9529057,2025-07-06 09:21:01.952906,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
28,0.11609182506799698,1751786531.9080808,2025-07-06 09:22:11.908081,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
29,0.11384498327970505,1751786601.9649928,2025-07-06 09:23:21.964993,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
30,0.11427866667509079,1751786671.7117298,2025-07-06 09:24:31.711730,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
31,0.11863891035318375,1751786765.2476172,2025-07-06 09:26:05.247617,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
32,0.11596671491861343,1751786834.7490916,2025-07-06 09:27:14.749092,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
33,0.11675841361284256,1751786905.268492,2025-07-06 09:28:25.268492,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
34,0.11426479369401932,1751786976.516046,2025-07-06 09:29:36.516046,135,IWAE,IWAE_experiment_20250706_071900_IWAE_0.001_80_20_0.01_50_1_KaimingUni_135
