step,value,wall_time,timestamp,seed,model,run_name
1,161.78366088867188,1751901326.777311,2025-07-07 17:15:26.777311,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
2,131.1556854248047,1751901396.6704934,2025-07-07 17:16:36.670493,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
3,123.60325622558594,1751901467.3946984,2025-07-07 17:17:47.394698,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
4,119.02840423583984,1751901537.205802,2025-07-07 17:18:57.205802,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
5,114.91272735595703,1751901607.5480034,2025-07-07 17:20:07.548003,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
6,112.90522766113281,1751901678.6799881,2025-07-07 17:21:18.679988,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
7,111.29869842529297,1751901748.975204,2025-07-07 17:22:28.975204,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
8,110.0899429321289,1751901819.5084865,2025-07-07 17:23:39.508487,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
9,109.0779037475586,1751901889.6913226,2025-07-07 17:24:49.691323,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
10,108.27273559570312,1751901959.9415305,2025-07-07 17:25:59.941530,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
11,107.49884796142578,1751902053.3785498,2025-07-07 17:27:33.378550,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
12,106.90217590332031,1751902123.3681748,2025-07-07 17:28:43.368175,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
13,106.35075378417969,1751902193.087319,2025-07-07 17:29:53.087319,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
14,105.00157165527344,1751902263.5205178,2025-07-07 17:31:03.520518,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
15,104.5224609375,1751902333.5689394,2025-07-07 17:32:13.568939,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
16,104.21684265136719,1751902403.650269,2025-07-07 17:33:23.650269,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
17,103.9139175415039,1751902474.227637,2025-07-07 17:34:34.227637,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
18,103.55964660644531,1751902545.0617673,2025-07-07 17:35:45.061767,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
19,103.34599304199219,1751902615.6606755,2025-07-07 17:36:55.660676,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
20,103.09706115722656,1751902686.052995,2025-07-07 17:38:06.052995,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
21,102.82365417480469,1751902779.0271347,2025-07-07 17:39:39.027135,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
22,102.57964324951172,1751902849.267884,2025-07-07 17:40:49.267884,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
23,102.41791534423828,1751902920.6631114,2025-07-07 17:42:00.663111,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
24,102.21134948730469,1751902990.8728232,2025-07-07 17:43:10.872823,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
25,102.10269927978516,1751903061.1119652,2025-07-07 17:44:21.111965,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
26,101.92265319824219,1751903132.5389965,2025-07-07 17:45:32.538996,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
27,101.67750549316406,1751903203.9049385,2025-07-07 17:46:43.904938,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
28,101.62484741210938,1751903274.91824,2025-07-07 17:47:54.918240,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
29,101.3844223022461,1751903346.7573195,2025-07-07 17:49:06.757319,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
30,101.30764770507812,1751903418.8753235,2025-07-07 17:50:18.875324,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
31,101.19139099121094,1751903512.965056,2025-07-07 17:51:52.965056,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
32,101.03185272216797,1751903585.940267,2025-07-07 17:53:05.940267,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
33,100.86467742919922,1751903656.4142876,2025-07-07 17:54:16.414288,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
34,100.7918472290039,1751903727.3248122,2025-07-07 17:55:27.324812,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
35,100.68427276611328,1751903797.643545,2025-07-07 17:56:37.643545,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
36,100.50788116455078,1751903868.2992215,2025-07-07 17:57:48.299222,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
37,100.48828125,1751903938.5464013,2025-07-07 17:58:58.546401,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
38,100.37469482421875,1751904009.0839372,2025-07-07 18:00:09.083937,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
39,100.2898941040039,1751904079.007357,2025-07-07 18:01:19.007357,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
40,100.16039276123047,1751904149.383397,2025-07-07 18:02:29.383397,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
41,99.35969543457031,1751904241.7273183,2025-07-07 18:04:01.727318,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
42,99.17806243896484,1751904311.969115,2025-07-07 18:05:11.969115,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
43,99.114501953125,1751904382.6790051,2025-07-07 18:06:22.679005,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
44,99.08687591552734,1751904453.4695563,2025-07-07 18:07:33.469556,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
45,98.9365234375,1751904523.50089,2025-07-07 18:08:43.500890,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
46,98.88877868652344,1751904594.0440686,2025-07-07 18:09:54.044069,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
47,98.78436279296875,1751904664.0476923,2025-07-07 18:11:04.047692,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
48,98.73357391357422,1751904733.913076,2025-07-07 18:12:13.913076,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
49,98.65401458740234,1751904803.8196938,2025-07-07 18:13:23.819694,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
50,98.55396270751953,1751904874.6455715,2025-07-07 18:14:34.645571,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
51,98.54826354980469,1751904968.1974616,2025-07-07 18:16:08.197462,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
52,98.54984283447266,1751905038.1354654,2025-07-07 18:17:18.135465,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
53,98.42227935791016,1751905109.0439444,2025-07-07 18:18:29.043944,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
54,98.39460754394531,1751905179.9395108,2025-07-07 18:19:39.939511,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
55,98.30546569824219,1751905251.098241,2025-07-07 18:20:51.098241,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
56,98.30361938476562,1751905321.744247,2025-07-07 18:22:01.744247,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
57,98.24523162841797,1751905391.9182801,2025-07-07 18:23:11.918280,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
58,98.2081298828125,1751905462.7468598,2025-07-07 18:24:22.746860,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
59,98.1497573852539,1751905534.4185207,2025-07-07 18:25:34.418521,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
60,98.0826416015625,1751905604.3885908,2025-07-07 18:26:44.388591,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
61,98.06329345703125,1751905698.1770258,2025-07-07 18:28:18.177026,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
62,97.9781265258789,1751905769.4072783,2025-07-07 18:29:29.407278,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
63,97.92881774902344,1751905839.4945996,2025-07-07 18:30:39.494600,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
64,97.93663787841797,1751905910.0598018,2025-07-07 18:31:50.059802,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
65,97.84021759033203,1751905980.8832712,2025-07-07 18:33:00.883271,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
66,97.81539916992188,1751906051.0927417,2025-07-07 18:34:11.092742,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
67,97.80784606933594,1751906121.0199342,2025-07-07 18:35:21.019934,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
68,97.75572204589844,1751906191.2901316,2025-07-07 18:36:31.290132,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
69,97.71855163574219,1751906261.2297003,2025-07-07 18:37:41.229700,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
70,97.66496276855469,1751906331.1614747,2025-07-07 18:38:51.161475,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
71,97.6043472290039,1751906424.7928197,2025-07-07 18:40:24.792820,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
72,97.59693145751953,1751906494.2181165,2025-07-07 18:41:34.218117,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
73,97.51542663574219,1751906564.6075246,2025-07-07 18:42:44.607525,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
74,97.53978729248047,1751906634.658654,2025-07-07 18:43:54.658654,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
75,97.48696899414062,1751906703.9464128,2025-07-07 18:45:03.946413,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
76,97.48257446289062,1751906773.4481962,2025-07-07 18:46:13.448196,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
77,97.4130630493164,1751906845.10365,2025-07-07 18:47:25.103650,630,IWAE,IWAE_experiment_20250707_154453_IWAE_0.001_80_20_0.01_50_1_KaimingUni_630
