step,value,wall_time,timestamp,seed,model,run_name
1,152.0386505126953,1751947585.057186,2025-07-08 06:06:25.057186,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
2,119.55706787109375,1751947661.9598348,2025-07-08 06:07:41.959835,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
3,113.0174331665039,1751947738.378369,2025-07-08 06:08:58.378369,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
4,109.1635971069336,1751947815.3235004,2025-07-08 06:10:15.323500,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
5,105.84141540527344,1751947891.896538,2025-07-08 06:11:31.896538,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
6,104.41943359375,1751947968.4395525,2025-07-08 06:12:48.439553,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
7,103.21598815917969,1751948044.7496727,2025-07-08 06:14:04.749673,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
8,102.27509307861328,1751948121.2578473,2025-07-08 06:15:21.257847,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
9,101.48593139648438,1751948197.5725093,2025-07-08 06:16:37.572509,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
10,100.82410430908203,1751948273.8372834,2025-07-08 06:17:53.837283,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
11,100.20720672607422,1751948374.3665047,2025-07-08 06:19:34.366505,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
12,99.71492767333984,1751948451.2173214,2025-07-08 06:20:51.217321,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
13,99.3692398071289,1751948527.213713,2025-07-08 06:22:07.213713,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
14,98.15360260009766,1751948604.0981202,2025-07-08 06:23:24.098120,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
15,97.78109741210938,1751948680.9950674,2025-07-08 06:24:40.995067,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
16,97.52262878417969,1751948757.8767607,2025-07-08 06:25:57.876761,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
17,97.2059097290039,1751948834.2593257,2025-07-08 06:27:14.259326,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
18,97.02787017822266,1751948911.1846244,2025-07-08 06:28:31.184624,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
19,96.79122161865234,1751948988.4439564,2025-07-08 06:29:48.443956,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
20,96.64125061035156,1751949065.4531178,2025-07-08 06:31:05.453118,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
21,96.42121887207031,1751949166.2830908,2025-07-08 06:32:46.283091,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
22,96.22692108154297,1751949242.751811,2025-07-08 06:34:02.751811,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
23,96.11456298828125,1751949318.3034456,2025-07-08 06:35:18.303446,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
24,95.91166687011719,1751949394.897797,2025-07-08 06:36:34.897797,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
25,95.75243377685547,1751949470.745772,2025-07-08 06:37:50.745772,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
26,95.58978271484375,1751949548.299264,2025-07-08 06:39:08.299264,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
