step,value,wall_time,timestamp,seed,model,run_name
1,0.05782833695411682,1751947585.059189,2025-07-08 06:06:25.059189,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
2,0.019847683608531952,1751947661.9618402,2025-07-08 06:07:41.961840,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
3,0.01799357496201992,1751947738.3830347,2025-07-08 06:08:58.383035,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
4,0.0174294151365757,1751947815.3255038,2025-07-08 06:10:15.325504,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
5,0.0173875093460083,1751947891.8985407,2025-07-08 06:11:31.898541,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
6,0.017770659178495407,1751947968.4415565,2025-07-08 06:12:48.441556,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
7,0.01762991026043892,1751948044.7496727,2025-07-08 06:14:04.749673,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
8,0.017698759213089943,1751948121.2622313,2025-07-08 06:15:21.262231,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
9,0.018454669043421745,1751948197.5745165,2025-07-08 06:16:37.574517,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
10,0.018670201301574707,1751948273.8372834,2025-07-08 06:17:53.837283,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
11,0.018854817375540733,1751948374.3665047,2025-07-08 06:19:34.366505,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
12,0.01933441124856472,1751948451.2330315,2025-07-08 06:20:51.233032,630,IWAE,IWAE_experiment_20250708_042910_IWAE_0.001_80_20_0.01_50_5_XavierNormal_630
