step,value,wall_time,timestamp,seed,model,run_name
1,149.7074432373047,1752621281.8961627,2025-07-16 01:14:41.896163,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
2,114.99932098388672,1752621351.356731,2025-07-16 01:15:51.356731,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
3,104.75132751464844,1752621420.963611,2025-07-16 01:17:00.963611,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
4,98.60514068603516,1752621491.2187097,2025-07-16 01:18:11.218710,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
5,93.9787826538086,1752621561.6615138,2025-07-16 01:19:21.661514,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
6,91.6618423461914,1752621631.5957525,2025-07-16 01:20:31.595752,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
7,89.82769775390625,1752621701.2287188,2025-07-16 01:21:41.228719,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
8,88.3124008178711,1752621770.986182,2025-07-16 01:22:50.986182,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
9,87.23726654052734,1752621841.1915658,2025-07-16 01:24:01.191566,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
10,86.26519775390625,1752621911.8455086,2025-07-16 01:25:11.845509,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
11,85.4356460571289,1752621982.3666778,2025-07-16 01:26:22.366678,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
12,84.71407318115234,1752622053.035431,2025-07-16 01:27:33.035431,924,IWAE,IWAE_experiment_20250715_234733_IWAE_0.001_80_20_0.01_50_1_KaimingUni_924
