step,value,wall_time,timestamp,seed,model,run_name
1,14.698678970336914,1752632037.9422448,2025-07-16 04:13:57.942245,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
2,15.91381549835205,1752632106.9245577,2025-07-16 04:15:06.924558,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
3,17.474748611450195,1752632177.443978,2025-07-16 04:16:17.443978,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
4,18.52927589416504,1752632247.1462002,2025-07-16 04:17:27.146200,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
5,19.128019332885742,1752632318.238037,2025-07-16 04:18:38.238037,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
6,19.612390518188477,1752632388.4524686,2025-07-16 04:19:48.452469,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
7,19.95599937438965,1752632459.6384058,2025-07-16 04:20:59.638406,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
8,20.220733642578125,1752632530.5489745,2025-07-16 04:22:10.548975,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
9,20.416624069213867,1752632601.4337912,2025-07-16 04:23:21.433791,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
10,20.617671966552734,1752632672.143853,2025-07-16 04:24:32.143853,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
11,20.77161979675293,1752632742.3739712,2025-07-16 04:25:42.373971,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
12,20.894685745239258,1752632812.775666,2025-07-16 04:26:52.775666,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
13,21.007253646850586,1752632882.7258723,2025-07-16 04:28:02.725872,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
14,20.993528366088867,1752632954.2876604,2025-07-16 04:29:14.287660,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
15,21.0751895904541,1752633024.4620636,2025-07-16 04:30:24.462064,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
16,21.17642593383789,1752633094.570074,2025-07-16 04:31:34.570074,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
17,21.24091148376465,1752633164.7307572,2025-07-16 04:32:44.730757,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
18,21.30985450744629,1752633235.0510771,2025-07-16 04:33:55.051077,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
19,21.35824966430664,1752633305.0899308,2025-07-16 04:35:05.089931,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
20,21.44573974609375,1752633374.778727,2025-07-16 04:36:14.778727,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
21,21.468595504760742,1752633445.3658466,2025-07-16 04:37:25.365847,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
22,21.525367736816406,1752633515.5111082,2025-07-16 04:38:35.511108,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
23,21.55084228515625,1752633585.342106,2025-07-16 04:39:45.342106,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
24,21.59437370300293,1752633654.5408504,2025-07-16 04:40:54.540850,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
25,21.63392448425293,1752633723.8767464,2025-07-16 04:42:03.876746,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
26,21.68324851989746,1752633793.6189992,2025-07-16 04:43:13.618999,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
27,21.7437801361084,1752633863.704103,2025-07-16 04:44:23.704103,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
28,21.755104064941406,1752633933.4012394,2025-07-16 04:45:33.401239,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
29,21.785547256469727,1752634003.480772,2025-07-16 04:46:43.480772,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
30,21.79745864868164,1752634073.8634517,2025-07-16 04:47:53.863452,924,IWAE,IWAE_experiment_20250716_024709_IWAE_0.001_80_20_0.01_50_1_KaimingNormal_924
