step,value,wall_time,timestamp,seed,model,run_name
1,141.22898864746094,1752643181.5898414,2025-07-16 07:19:41.589841,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
2,104.47872161865234,1752643257.3807197,2025-07-16 07:20:57.380720,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
3,95.22245788574219,1752643333.3302155,2025-07-16 07:22:13.330215,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
4,90.1883316040039,1752643409.310642,2025-07-16 07:23:29.310642,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
5,86.26217651367188,1752643484.3495724,2025-07-16 07:24:44.349572,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
6,84.2796630859375,1752643560.5392988,2025-07-16 07:26:00.539299,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
7,82.81566619873047,1752643636.014449,2025-07-16 07:27:16.014449,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
8,81.6037368774414,1752643712.4691658,2025-07-16 07:28:32.469166,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
9,80.68679809570312,1752643787.8683255,2025-07-16 07:29:47.868325,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
10,79.77389526367188,1752643863.8987427,2025-07-16 07:31:03.898743,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
11,79.10612487792969,1752643939.8786986,2025-07-16 07:32:19.878699,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
12,78.49873352050781,1752644015.1195621,2025-07-16 07:33:35.119562,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
13,77.98318481445312,1752644090.5715525,2025-07-16 07:34:50.571553,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
14,76.63837432861328,1752644165.4404583,2025-07-16 07:36:05.440458,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
15,76.34374237060547,1752644240.864479,2025-07-16 07:37:20.864479,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
16,75.99197387695312,1752644315.9417253,2025-07-16 07:38:35.941725,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
17,75.641357421875,1752644392.4382017,2025-07-16 07:39:52.438202,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
18,75.43152618408203,1752644468.807978,2025-07-16 07:41:08.807978,924,IWAE,IWAE_experiment_20250716_054633_IWAE_0.001_80_20_0.01_50_5_XavierUni_924
