step,value,wall_time,timestamp,seed,model,run_name
1,171.16436767578125,1752779698.0244067,2025-07-17 21:14:58.024407,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
2,128.3389434814453,1752779769.096886,2025-07-17 21:16:09.096886,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
3,119.8843765258789,1752779840.0349643,2025-07-17 21:17:20.034964,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
4,115.63195037841797,1752779911.462582,2025-07-17 21:18:31.462582,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
5,111.96717834472656,1752779983.386421,2025-07-17 21:19:43.386421,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
6,110.389404296875,1752780054.2609327,2025-07-17 21:20:54.260933,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
7,109.10419464111328,1752780125.2446482,2025-07-17 21:22:05.244648,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
8,108.08531951904297,1752780200.4249368,2025-07-17 21:23:20.424937,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
9,107.20033264160156,1752780271.6207767,2025-07-17 21:24:31.620777,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
10,106.34461212158203,1752780342.0236492,2025-07-17 21:25:42.023649,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
11,105.64833068847656,1752780412.8075922,2025-07-17 21:26:52.807592,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
12,105.02230072021484,1752780484.8623343,2025-07-17 21:28:04.862334,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
13,104.58174133300781,1752780555.7390285,2025-07-17 21:29:15.739028,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
14,103.16136169433594,1752780626.9749308,2025-07-17 21:30:26.974931,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
15,102.8349609375,1752780698.1147606,2025-07-17 21:31:38.114761,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
16,102.48790740966797,1752780776.046157,2025-07-17 21:32:56.046157,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
17,102.11833190917969,1752780860.4642208,2025-07-17 21:34:20.464221,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
18,101.89997863769531,1752780932.418623,2025-07-17 21:35:32.418623,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
19,101.60182189941406,1752781003.717648,2025-07-17 21:36:43.717648,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
20,101.36097717285156,1752781074.510285,2025-07-17 21:37:54.510285,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
21,101.06761932373047,1752781145.7004776,2025-07-17 21:39:05.700478,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
22,100.9126205444336,1752781216.626872,2025-07-17 21:40:16.626872,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
23,100.73590087890625,1752781287.3821075,2025-07-17 21:41:27.382107,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
24,100.55065155029297,1752781359.1581414,2025-07-17 21:42:39.158141,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
25,100.3930892944336,1752781430.2283976,2025-07-17 21:43:50.228398,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
26,100.23139190673828,1752781501.7131228,2025-07-17 21:45:01.713123,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
27,100.0952377319336,1752781573.2839122,2025-07-17 21:46:13.283912,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
28,99.93266296386719,1752781644.6690357,2025-07-17 21:47:24.669036,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
29,99.85393524169922,1752781715.6122894,2025-07-17 21:48:35.612289,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
30,99.71027374267578,1752781786.7432537,2025-07-17 21:49:46.743254,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
31,99.60488891601562,1752781857.9404771,2025-07-17 21:50:57.940477,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
32,99.46424102783203,1752781929.2166767,2025-07-17 21:52:09.216677,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
33,99.3492202758789,1752782000.161352,2025-07-17 21:53:20.161352,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
34,99.22172546386719,1752782071.0222259,2025-07-17 21:54:31.022226,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
35,99.16407012939453,1752782142.1443455,2025-07-17 21:55:42.144346,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
36,99.11187744140625,1752782213.1329374,2025-07-17 21:56:53.132937,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
37,98.95345306396484,1752782284.2083015,2025-07-17 21:58:04.208302,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
38,98.9128646850586,1752782355.7880926,2025-07-17 21:59:15.788093,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
39,98.78783416748047,1752782428.2826593,2025-07-17 22:00:28.282659,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
40,98.71575927734375,1752782499.633093,2025-07-17 22:01:39.633093,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
41,97.96904754638672,1752782570.5469058,2025-07-17 22:02:50.546906,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
42,97.79735565185547,1752782641.6357224,2025-07-17 22:04:01.635722,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
43,97.67707824707031,1752782713.0636122,2025-07-17 22:05:13.063612,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
44,97.7071762084961,1752782783.3445122,2025-07-17 22:06:23.344512,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
45,97.59832763671875,1752782854.3444555,2025-07-17 22:07:34.344455,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
46,97.53626251220703,1752782925.9115915,2025-07-17 22:08:45.911592,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
47,97.49922180175781,1752782997.4471004,2025-07-17 22:09:57.447100,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
48,97.449951171875,1752783068.678012,2025-07-17 22:11:08.678012,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
49,97.4071273803711,1752783141.130178,2025-07-17 22:12:21.130178,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
50,97.314453125,1752783213.1760013,2025-07-17 22:13:33.176001,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
51,97.26399230957031,1752783286.060811,2025-07-17 22:14:46.060811,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
52,97.2646255493164,1752783357.3841894,2025-07-17 22:15:57.384189,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
53,97.18595886230469,1752783428.3559237,2025-07-17 22:17:08.355924,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
54,97.20962524414062,1752783499.6054826,2025-07-17 22:18:19.605483,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
55,97.10625457763672,1752783570.0002913,2025-07-17 22:19:30.000291,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
56,97.0816650390625,1752783641.72625,2025-07-17 22:20:41.726250,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
57,96.9845962524414,1752783712.6245496,2025-07-17 22:21:52.624550,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
58,96.95169830322266,1752783783.459202,2025-07-17 22:23:03.459202,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
59,96.87804412841797,1752783854.511941,2025-07-17 22:24:14.511941,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
60,96.86626434326172,1752783925.7204726,2025-07-17 22:25:25.720473,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
61,96.80392456054688,1752783997.118277,2025-07-17 22:26:37.118277,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
62,96.79621887207031,1752784068.544914,2025-07-17 22:27:48.544914,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
63,96.7031021118164,1752784140.2571034,2025-07-17 22:29:00.257103,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
64,96.70085144042969,1752784211.376756,2025-07-17 22:30:11.376756,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
65,96.66036224365234,1752784282.1309445,2025-07-17 22:31:22.130944,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
66,96.6695785522461,1752784353.047477,2025-07-17 22:32:33.047477,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
67,96.63351440429688,1752784423.8129756,2025-07-17 22:33:43.812976,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
68,96.60317993164062,1752784494.554973,2025-07-17 22:34:54.554973,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
69,96.55980682373047,1752784565.411542,2025-07-17 22:36:05.411542,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
70,96.44789123535156,1752784636.0652761,2025-07-17 22:37:16.065276,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
71,96.43587493896484,1752784706.4152722,2025-07-17 22:38:26.415272,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
72,96.44088745117188,1752784778.0418465,2025-07-17 22:39:38.041847,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
73,96.40190124511719,1752784848.811061,2025-07-17 22:40:48.811061,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
74,96.40766143798828,1752784919.4805381,2025-07-17 22:41:59.480538,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
75,96.38558197021484,1752784990.8129206,2025-07-17 22:43:10.812921,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
76,96.38090515136719,1752785061.8385348,2025-07-17 22:44:21.838535,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
77,96.3506851196289,1752785132.997256,2025-07-17 22:45:32.997256,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
78,96.2585678100586,1752785203.4906402,2025-07-17 22:46:43.490640,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
79,96.1986083984375,1752785273.9673827,2025-07-17 22:47:53.967383,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
80,96.24462127685547,1752785345.1363707,2025-07-17 22:49:05.136371,32,IWAE,IWAE_experiment_20250717_194625_IWAE_0.001_80_20_0.01_50_1_XavierUni_32
