step,value,wall_time,timestamp,seed,model,run_name
1,139.96495056152344,1752744860.6170785,2025-07-17 11:34:20.617079,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
2,103.24986267089844,1752744937.9242651,2025-07-17 11:35:37.924265,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
3,94.58937072753906,1752745014.3564358,2025-07-17 11:36:54.356436,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
4,90.04497528076172,1752745090.9908106,2025-07-17 11:38:10.990811,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
5,86.13127136230469,1752745167.5690823,2025-07-17 11:39:27.569082,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
6,84.20518493652344,1752745244.6580224,2025-07-17 11:40:44.658022,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
7,82.68047332763672,1752745321.079265,2025-07-17 11:42:01.079265,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
8,81.5240478515625,1752745397.803069,2025-07-17 11:43:17.803069,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
9,80.47368621826172,1752745475.135916,2025-07-17 11:44:35.135916,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
10,79.70354461669922,1752745551.4591775,2025-07-17 11:45:51.459177,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
11,78.96205139160156,1752745628.0285177,2025-07-17 11:47:08.028518,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
12,78.41919708251953,1752745704.739526,2025-07-17 11:48:24.739526,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
13,77.88089752197266,1752745781.5555925,2025-07-17 11:49:41.555593,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
14,76.62501525878906,1752745857.7075574,2025-07-17 11:50:57.707557,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
15,76.28607940673828,1752745933.8401215,2025-07-17 11:52:13.840122,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
16,75.88159942626953,1752746010.129059,2025-07-17 11:53:30.129059,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
17,75.63615417480469,1752746086.4124515,2025-07-17 11:54:46.412452,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
18,75.29602813720703,1752746162.7323978,2025-07-17 11:56:02.732398,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
19,75.07463073730469,1752746239.2446325,2025-07-17 11:57:19.244632,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
20,74.84600830078125,1752746316.4012034,2025-07-17 11:58:36.401203,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
21,74.62767028808594,1752746393.376874,2025-07-17 11:59:53.376874,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
22,74.34776306152344,1752746470.1001341,2025-07-17 12:01:10.100134,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
23,74.20030975341797,1752746546.9815114,2025-07-17 12:02:26.981511,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
24,74.02263641357422,1752746623.4928195,2025-07-17 12:03:43.492820,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
25,73.83447265625,1752746700.506576,2025-07-17 12:05:00.506576,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
26,73.6312484741211,1752746777.2449126,2025-07-17 12:06:17.244913,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
27,73.57421875,1752746854.5488856,2025-07-17 12:07:34.548886,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
28,73.32726287841797,1752746930.9979587,2025-07-17 12:08:50.997959,10,IWAE,IWAE_experiment_20250717_100029_IWAE_0.001_80_20_0.01_50_5_XavierNormal_10
