step,value,wall_time,timestamp,seed,model,run_name
1,10.800564765930176,1752733156.6987932,2025-07-17 08:19:16.698793,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
2,16.13365364074707,1752733232.7264555,2025-07-17 08:20:32.726455,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
3,17.998577117919922,1752733309.458788,2025-07-17 08:21:49.458788,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
4,18.9857234954834,1752733385.2452,2025-07-17 08:23:05.245200,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
5,19.55103302001953,1752733463.0409064,2025-07-17 08:24:23.040906,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
6,19.896482467651367,1752733540.139864,2025-07-17 08:25:40.139864,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
7,20.197900772094727,1752733616.7791429,2025-07-17 08:26:56.779143,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
8,20.40039825439453,1752733693.841329,2025-07-17 08:28:13.841329,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
9,20.563020706176758,1752733771.1975832,2025-07-17 08:29:31.197583,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
10,20.746807098388672,1752733848.3554668,2025-07-17 08:30:48.355467,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
11,20.912639617919922,1752733925.547018,2025-07-17 08:32:05.547018,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
12,21.038909912109375,1752734002.2449434,2025-07-17 08:33:22.244943,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
13,21.169002532958984,1752734079.312751,2025-07-17 08:34:39.312751,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
14,21.27223777770996,1752734155.9541574,2025-07-17 08:35:55.954157,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
15,21.374771118164062,1752734232.217177,2025-07-17 08:37:12.217177,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
16,21.43572998046875,1752734309.4997745,2025-07-17 08:38:29.499774,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
17,21.517345428466797,1752734386.547614,2025-07-17 08:39:46.547614,10,IWAE,IWAE_experiment_20250717_064519_IWAE_0.001_80_20_0.01_50_5_XavierUni_10
