step,value,wall_time,timestamp,seed,model,run_name
1,0.6053481101989746,1752859477.4827268,2025-07-18 19:24:37.482727,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
2,0.1409294307231903,1752859555.4217331,2025-07-18 19:25:55.421733,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
3,0.12439680099487305,1752859632.9456797,2025-07-18 19:27:12.945680,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
4,0.11752737313508987,1752859710.93359,2025-07-18 19:28:30.933590,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
5,0.10957076400518417,1752859788.7608054,2025-07-18 19:29:48.760805,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
6,0.10902075469493866,1752859866.2542589,2025-07-18 19:31:06.254259,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
7,0.10418485105037689,1752859944.5229084,2025-07-18 19:32:24.522908,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
8,0.10780870169401169,1752860022.1312683,2025-07-18 19:33:42.131268,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
9,0.10375101119279861,1752860103.2749712,2025-07-18 19:35:03.274971,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
10,0.1030149906873703,1752860189.1528366,2025-07-18 19:36:29.152837,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
11,0.10198700428009033,1752860273.7913349,2025-07-18 19:37:53.791335,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
12,0.10037433356046677,1752860351.7008162,2025-07-18 19:39:11.700816,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
13,0.09959015250205994,1752860429.3596885,2025-07-18 19:40:29.359689,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
14,0.09901008009910583,1752860507.2822986,2025-07-18 19:41:47.282299,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
15,0.09788036346435547,1752860584.9781733,2025-07-18 19:43:04.978173,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
16,0.09822249412536621,1752860662.9893422,2025-07-18 19:44:22.989342,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
17,0.09718824923038483,1752860740.2668931,2025-07-18 19:45:40.266893,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
18,0.09457655996084213,1752860817.0980725,2025-07-18 19:46:57.098073,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
19,0.09592415392398834,1752860894.6759372,2025-07-18 19:48:14.675937,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
20,0.09582170099020004,1752860971.766048,2025-07-18 19:49:31.766048,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
21,0.09344104677438736,1752861049.1438956,2025-07-18 19:50:49.143896,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
22,0.09538543969392776,1752861127.0910742,2025-07-18 19:52:07.091074,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
23,0.09567753225564957,1752861206.2655547,2025-07-18 19:53:26.265555,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
24,0.0953611433506012,1752861284.4236627,2025-07-18 19:54:44.423663,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
25,0.09590345621109009,1752861362.4980602,2025-07-18 19:56:02.498060,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
26,0.0943959429860115,1752861440.8453262,2025-07-18 19:57:20.845326,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
27,0.09484909474849701,1752861519.1659544,2025-07-18 19:58:39.165954,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
28,0.09344197809696198,1752861596.9005144,2025-07-18 19:59:56.900514,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
29,0.09228401631116867,1752861674.0161395,2025-07-18 20:01:14.016140,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
30,0.09377281367778778,1752861751.3177278,2025-07-18 20:02:31.317728,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
31,0.09163716435432434,1752861828.533645,2025-07-18 20:03:48.533645,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
32,0.09251376241445541,1752861905.9337332,2025-07-18 20:05:05.933733,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
33,0.09110453724861145,1752861983.1101537,2025-07-18 20:06:23.110154,32,IWAE,IWAE_experiment_20250718_174855_IWAE_0.001_80_20_0.01_50_5_KaimingNormal_32
