step,value,wall_time,timestamp,seed,model,run_name
1,0.052516549825668335,1752847567.2490017,2025-07-18 16:06:07.249002,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
2,0.018553225323557854,1752847644.4264064,2025-07-18 16:07:24.426406,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
3,0.017638027667999268,1752847722.299619,2025-07-18 16:08:42.299619,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
4,0.018120281398296356,1752847800.9034238,2025-07-18 16:10:00.903424,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
5,0.018120715394616127,1752847879.0345838,2025-07-18 16:11:19.034584,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
6,0.01778554916381836,1752847957.2324574,2025-07-18 16:12:37.232457,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
7,0.018120601773262024,1752848036.0698678,2025-07-18 16:13:56.069868,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
8,0.018768927082419395,1752848114.5129814,2025-07-18 16:15:14.512981,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
9,0.01854531094431877,1752848192.68297,2025-07-18 16:16:32.682970,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
10,0.01860814355313778,1752848270.7834363,2025-07-18 16:17:50.783436,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
11,0.018989890813827515,1752848347.8801525,2025-07-18 16:19:07.880152,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
12,0.01880483888089657,1752848425.0374186,2025-07-18 16:20:25.037419,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
13,0.01930765062570572,1752848502.6408777,2025-07-18 16:21:42.640878,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
14,0.019441865384578705,1752848580.3080869,2025-07-18 16:23:00.308087,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
15,0.019277632236480713,1752848657.34753,2025-07-18 16:24:17.347530,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
16,0.018881289288401604,1752848735.8738837,2025-07-18 16:25:35.873884,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
17,0.019274987280368805,1752848814.5259745,2025-07-18 16:26:54.525975,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
18,0.019566155970096588,1752848892.4883444,2025-07-18 16:28:12.488344,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
19,0.019987380132079124,1752848970.669855,2025-07-18 16:29:30.669855,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
20,0.019700147211551666,1752849048.7469633,2025-07-18 16:30:48.746963,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
21,0.019984880462288857,1752849127.3491287,2025-07-18 16:32:07.349129,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
22,0.01977197453379631,1752849205.5798683,2025-07-18 16:33:25.579868,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
23,0.01976962946355343,1752849284.178849,2025-07-18 16:34:44.178849,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
24,0.01953396201133728,1752849362.5562744,2025-07-18 16:36:02.556274,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
25,0.02002592943608761,1752849440.6564367,2025-07-18 16:37:20.656437,32,IWAE,IWAE_experiment_20250718_143042_IWAE_0.001_80_20_0.01_50_5_KaimingUni_32
