step,value,wall_time,timestamp,seed,model,run_name
1,0.5912285447120667,1752835700.325821,2025-07-18 12:48:20.325821,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
2,0.14719243347644806,1752835777.0766256,2025-07-18 12:49:37.076626,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
3,0.13609570264816284,1752835854.3023324,2025-07-18 12:50:54.302332,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
4,0.1274988353252411,1752835932.8304212,2025-07-18 12:52:12.830421,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
5,0.12312881648540497,1752836010.845365,2025-07-18 12:53:30.845365,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
6,0.11952957510948181,1752836089.1404617,2025-07-18 12:54:49.140462,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
7,0.11773306131362915,1752836166.7519064,2025-07-18 12:56:06.751906,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
8,0.11208311468362808,1752836244.2282133,2025-07-18 12:57:24.228213,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
9,0.11296079307794571,1752836321.6866815,2025-07-18 12:58:41.686682,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
10,0.11280515044927597,1752836398.9472501,2025-07-18 12:59:58.947250,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
11,0.11210464686155319,1752836476.4064562,2025-07-18 13:01:16.406456,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
12,0.11263149976730347,1752836553.2275472,2025-07-18 13:02:33.227547,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
13,0.11080949753522873,1752836630.8007517,2025-07-18 13:03:50.800752,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
14,0.1123179942369461,1752836708.0992372,2025-07-18 13:05:08.099237,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
15,0.10929550975561142,1752836785.0542946,2025-07-18 13:06:25.054295,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
16,0.10908394306898117,1752836861.8643646,2025-07-18 13:07:41.864365,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
17,0.11086773872375488,1752836941.5499806,2025-07-18 13:09:01.549981,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
18,0.10655704885721207,1752837019.4717839,2025-07-18 13:10:19.471784,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
19,0.11031937599182129,1752837097.1106417,2025-07-18 13:11:37.110642,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
20,0.10910201072692871,1752837176.3274302,2025-07-18 13:12:56.327430,32,IWAE,IWAE_experiment_20250718_111329_IWAE_0.001_80_20_0.01_50_5_XavierNormal_32
