step,value,wall_time,timestamp,seed,model,run_name
1,0.645134687423706,1751768035.6458538,2025-07-06 04:13:55.645854,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
2,0.16053137183189392,1751768101.8494005,2025-07-06 04:15:01.849401,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
3,0.13634566962718964,1751768167.811158,2025-07-06 04:16:07.811158,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
4,0.12507963180541992,1751768234.4980235,2025-07-06 04:17:14.498024,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
5,0.1187126561999321,1751768300.799663,2025-07-06 04:18:20.799663,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
6,0.11780498176813126,1751768366.730269,2025-07-06 04:19:26.730269,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
7,0.11741313338279724,1751768432.417371,2025-07-06 04:20:32.417371,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
8,0.1111898273229599,1751768498.5784786,2025-07-06 04:21:38.578479,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
9,0.1128489300608635,1751768564.707176,2025-07-06 04:22:44.707176,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
10,0.10817983001470566,1751768631.0086718,2025-07-06 04:23:51.008672,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
11,0.10850795358419418,1751768721.6006396,2025-07-06 04:25:21.600640,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
12,0.10591697692871094,1751768787.4504912,2025-07-06 04:26:27.450491,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
13,0.10690142214298248,1751768852.659351,2025-07-06 04:27:32.659351,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
14,0.10493925958871841,1751768918.0484884,2025-07-06 04:28:38.048488,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
15,0.10320915281772614,1751768984.472971,2025-07-06 04:29:44.472971,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
16,0.10355561971664429,1751769051.0679626,2025-07-06 04:30:51.067963,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
17,0.10307016223669052,1751769116.0277808,2025-07-06 04:31:56.027781,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
18,0.10314260423183441,1751769182.0440302,2025-07-06 04:33:02.044030,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
19,0.09935423731803894,1751769247.429195,2025-07-06 04:34:07.429195,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
20,0.10235372930765152,1751769312.9251966,2025-07-06 04:35:12.925197,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
21,0.10268470644950867,1751769402.0869033,2025-07-06 04:36:42.086903,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
22,0.10068736225366592,1751769468.3841295,2025-07-06 04:37:48.384130,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
23,0.09973708540201187,1751769534.3810198,2025-07-06 04:38:54.381020,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
24,0.10284004360437393,1751769599.7867982,2025-07-06 04:39:59.786798,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
25,0.10005088150501251,1751769665.9473453,2025-07-06 04:41:05.947345,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
26,0.09990855306386948,1751769732.3967533,2025-07-06 04:42:12.396753,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
27,0.09917833656072617,1751769798.1784441,2025-07-06 04:43:18.178444,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
28,0.0993885025382042,1751769863.9224153,2025-07-06 04:44:23.922415,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
29,0.09724756330251694,1751769929.3515909,2025-07-06 04:45:29.351591,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
30,0.09642782807350159,1751769994.9885237,2025-07-06 04:46:34.988524,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
31,0.0972011610865593,1751770083.8930557,2025-07-06 04:48:03.893056,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
32,0.09928983449935913,1751770150.1283293,2025-07-06 04:49:10.128329,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
33,0.09810400754213333,1751770215.23264,2025-07-06 04:50:15.232640,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
34,0.09379363059997559,1751770280.593627,2025-07-06 04:51:20.593627,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
35,0.09653139114379883,1751770345.6350627,2025-07-06 04:52:25.635063,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
36,0.09578517079353333,1751770410.5035233,2025-07-06 04:53:30.503523,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
37,0.09677869081497192,1751770476.5298421,2025-07-06 04:54:36.529842,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
38,0.09705454111099243,1751770540.9981084,2025-07-06 04:55:40.998108,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
39,0.09466465562582016,1751770606.4919631,2025-07-06 04:56:46.491963,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
40,0.09526191651821136,1751770671.6398244,2025-07-06 04:57:51.639824,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
41,0.09318971633911133,1751770760.5148182,2025-07-06 04:59:20.514818,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
42,0.09475217014551163,1751770826.0292666,2025-07-06 05:00:26.029267,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
43,0.09497436136007309,1751770891.4174137,2025-07-06 05:01:31.417414,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
44,0.0935123935341835,1751770956.939354,2025-07-06 05:02:36.939354,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
45,0.09552010893821716,1751771021.840846,2025-07-06 05:03:41.840846,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
46,0.09591300785541534,1751771086.950318,2025-07-06 05:04:46.950318,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
47,0.09636790305376053,1751771151.9834936,2025-07-06 05:05:51.983494,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
48,0.0929296612739563,1751771216.4919808,2025-07-06 05:06:56.491981,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
49,0.09422533959150314,1751771281.2050679,2025-07-06 05:08:01.205068,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
50,0.09265360981225967,1751771346.1892922,2025-07-06 05:09:06.189292,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
51,0.09291767328977585,1751771433.677791,2025-07-06 05:10:33.677791,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
52,0.09329535067081451,1751771498.1571763,2025-07-06 05:11:38.157176,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
53,0.09293749183416367,1751771562.6508193,2025-07-06 05:12:42.650819,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
54,0.0918567031621933,1751771627.3483176,2025-07-06 05:13:47.348318,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
55,0.0909176617860794,1751771691.334617,2025-07-06 05:14:51.334617,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
56,0.09358500689268112,1751771755.983457,2025-07-06 05:15:55.983457,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
57,0.09367483854293823,1751771820.6410346,2025-07-06 05:17:00.641035,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
58,0.09334124624729156,1751771885.556192,2025-07-06 05:18:05.556192,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
59,0.09325211495161057,1751771949.8900359,2025-07-06 05:19:09.890036,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
60,0.09183105826377869,1751772014.2451854,2025-07-06 05:20:14.245185,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
61,0.0926300510764122,1751772100.9683475,2025-07-06 05:21:40.968348,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
62,0.09318111091852188,1751772164.9637911,2025-07-06 05:22:44.963791,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
63,0.09382212907075882,1751772229.4660916,2025-07-06 05:23:49.466092,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
64,0.09262265264987946,1751772294.009109,2025-07-06 05:24:54.009109,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
65,0.09204402565956116,1751772358.0793338,2025-07-06 05:25:58.079334,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
66,0.09151717275381088,1751772423.0388012,2025-07-06 05:27:03.038801,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
67,0.0937991663813591,1751772486.9577866,2025-07-06 05:28:06.957787,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
68,0.09171301126480103,1751772550.720764,2025-07-06 05:29:10.720764,135,VAE,VAE_experiment_20250706_041255_VAE_0.001_80_20_0.01_50_1_XavierNormal_135
