step,value,wall_time,timestamp,seed,model,run_name
1,170.7806854248047,1751757035.0792708,2025-07-06 01:10:35.079271,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
2,128.3403778076172,1751757097.4367366,2025-07-06 01:11:37.436737,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
3,119.47279357910156,1751757157.245222,2025-07-06 01:12:37.245222,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
4,115.0556411743164,1751757217.8145611,2025-07-06 01:13:37.814561,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
5,111.49254608154297,1751757277.891663,2025-07-06 01:14:37.891663,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
6,109.72478485107422,1751757337.4553332,2025-07-06 01:15:37.455333,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
7,108.45057678222656,1751757400.6804137,2025-07-06 01:16:40.680414,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
8,107.38352966308594,1751757464.079991,2025-07-06 01:17:44.079991,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
9,106.43576049804688,1751757526.21092,2025-07-06 01:18:46.210920,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
10,105.5803451538086,1751757588.4070604,2025-07-06 01:19:48.407060,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
11,104.94711303710938,1751757675.1345758,2025-07-06 01:21:15.134576,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
12,104.42835235595703,1751757738.8389564,2025-07-06 01:22:18.838956,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
13,103.8553466796875,1751757803.2118797,2025-07-06 01:23:23.211880,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
14,102.66582489013672,1751757866.8326316,2025-07-06 01:24:26.832632,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
15,102.2778091430664,1751757928.5417554,2025-07-06 01:25:28.541755,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
16,101.98460388183594,1751757991.4004416,2025-07-06 01:26:31.400442,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
17,101.68651580810547,1751758056.0425715,2025-07-06 01:27:36.042572,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
18,101.41873168945312,1751758119.5373883,2025-07-06 01:28:39.537388,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
19,101.18798065185547,1751758183.6509988,2025-07-06 01:29:43.650999,135,VAE,VAE_experiment_20250706_010948_VAE_0.001_80_20_0.01_50_1_XavierUni_135
