step,value,wall_time,timestamp,seed,model,run_name
1,0.06809554249048233,1751895952.6988878,2025-07-07 15:45:52.698888,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
2,0.015363999642431736,1751896018.5821102,2025-07-07 15:46:58.582110,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
3,0.013638274744153023,1751896083.9411907,2025-07-07 15:48:03.941191,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
4,0.012560858391225338,1751896149.436883,2025-07-07 15:49:09.436883,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
5,0.011978298425674438,1751896214.0712605,2025-07-07 15:50:14.071260,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
6,0.012350790202617645,1751896279.4046156,2025-07-07 15:51:19.404616,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
7,0.01261281780898571,1751896344.5418868,2025-07-07 15:52:24.541887,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
8,0.012610534206032753,1751896409.004282,2025-07-07 15:53:29.004282,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
9,0.01315678283572197,1751896473.1065228,2025-07-07 15:54:33.106523,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
10,0.013245475478470325,1751896537.0520196,2025-07-07 15:55:37.052020,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
11,0.013489678502082825,1751896624.5025172,2025-07-07 15:57:04.502517,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
12,0.01311616413295269,1751896689.2631326,2025-07-07 15:58:09.263133,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
13,0.013409743085503578,1751896754.1553316,2025-07-07 15:59:14.155332,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
14,0.013258010149002075,1751896819.0822268,2025-07-07 16:00:19.082227,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
15,0.013625060208141804,1751896884.422514,2025-07-07 16:01:24.422514,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
16,0.013633215799927711,1751896949.789574,2025-07-07 16:02:29.789574,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
17,0.014134963043034077,1751897013.9070115,2025-07-07 16:03:33.907012,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
18,0.013846168294548988,1751897078.4762008,2025-07-07 16:04:38.476201,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
19,0.014123151078820229,1751897143.0178082,2025-07-07 16:05:43.017808,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
20,0.013848057948052883,1751897207.7140634,2025-07-07 16:06:47.714063,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
21,0.013914693146944046,1751897295.055912,2025-07-07 16:08:15.055912,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
22,0.014135166071355343,1751897360.2089891,2025-07-07 16:09:20.208989,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
23,0.014351415447890759,1751897425.6931233,2025-07-07 16:10:25.693123,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
24,0.014139743521809578,1751897491.2453156,2025-07-07 16:11:31.245316,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
25,0.01461033709347248,1751897557.3301528,2025-07-07 16:12:37.330153,630,VAE,VAE_experiment_20250707_154453_VAE_0.001_80_20_0.01_50_1_KaimingUni_630
