step,value,wall_time,timestamp,seed,model,run_name
1,0.6497814059257507,1751849265.4869227,2025-07-07 02:47:45.486923,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
2,0.14591112732887268,1751849334.5784802,2025-07-07 02:48:54.578480,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
3,0.12801523506641388,1751849404.331204,2025-07-07 02:50:04.331204,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
4,0.12080775946378708,1751849474.5780613,2025-07-07 02:51:14.578061,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
5,0.1155950203537941,1751849543.9427192,2025-07-07 02:52:23.942719,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
6,0.11259936541318893,1751849613.01096,2025-07-07 02:53:33.010960,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
7,0.11044789105653763,1751849682.2763364,2025-07-07 02:54:42.276336,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
8,0.1085914894938469,1751849751.6353207,2025-07-07 02:55:51.635321,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
9,0.10886244475841522,1751849822.2098167,2025-07-07 02:57:02.209817,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
10,0.10730603337287903,1751849891.6827588,2025-07-07 02:58:11.682759,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
11,0.10845012217760086,1751849986.4721334,2025-07-07 02:59:46.472133,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
12,0.10553577542304993,1751850056.4838676,2025-07-07 03:00:56.483868,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
13,0.10554420202970505,1751850125.8851323,2025-07-07 03:02:05.885132,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
14,0.10387446731328964,1751850195.7342188,2025-07-07 03:03:15.734219,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
15,0.10478611290454865,1751850265.6856203,2025-07-07 03:04:25.685620,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
16,0.10181006789207458,1751850335.8779664,2025-07-07 03:05:35.877966,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
17,0.1031346544623375,1751850405.4303818,2025-07-07 03:06:45.430382,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
18,0.10229824483394623,1751850475.830527,2025-07-07 03:07:55.830527,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
19,0.10424521565437317,1751850544.961106,2025-07-07 03:09:04.961106,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
20,0.10173983871936798,1751850614.119958,2025-07-07 03:10:14.119958,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
21,0.10215787589550018,1751850707.0906749,2025-07-07 03:11:47.090675,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
22,0.10060624778270721,1751850776.3513172,2025-07-07 03:12:56.351317,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
23,0.10248912125825882,1751850846.0741386,2025-07-07 03:14:06.074139,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
24,0.09851454943418503,1751850915.4610493,2025-07-07 03:15:15.461049,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
25,0.0999036580324173,1751850985.7995572,2025-07-07 03:16:25.799557,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
26,0.09981914609670639,1751851055.247046,2025-07-07 03:17:35.247046,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
27,0.09793762117624283,1751851125.3530867,2025-07-07 03:18:45.353087,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
28,0.09940700232982635,1751851194.9344964,2025-07-07 03:19:54.934496,135,VAE,VAE_experiment_20250707_024643_VAE_0.001_80_20_0.01_50_5_KaimingNormal_135
