step,value,wall_time,timestamp,seed,model,run_name
1,14.790702819824219,1751966045.5494745,2025-07-08 11:14:05.549474,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
2,18.560441970825195,1751966115.2051456,2025-07-08 11:15:15.205146,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
3,19.89131736755371,1751966185.0629742,2025-07-08 11:16:25.062974,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
4,20.521787643432617,1751966255.3343632,2025-07-08 11:17:35.334363,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
5,20.911169052124023,1751966324.9140744,2025-07-08 11:18:44.914074,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
6,21.159669876098633,1751966394.906682,2025-07-08 11:19:54.906682,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
7,21.37592887878418,1751966464.1429398,2025-07-08 11:21:04.142940,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
8,21.56626319885254,1751966533.4370298,2025-07-08 11:22:13.437030,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
9,21.701557159423828,1751966603.5051565,2025-07-08 11:23:23.505157,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
10,21.84267807006836,1751966673.4896827,2025-07-08 11:24:33.489683,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
11,21.929298400878906,1751966769.3416638,2025-07-08 11:26:09.341664,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
12,22.029638290405273,1751966839.1501164,2025-07-08 11:27:19.150116,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
13,22.11099624633789,1751966909.309315,2025-07-08 11:28:29.309315,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
14,22.182796478271484,1751966979.089663,2025-07-08 11:29:39.089663,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
15,22.251577377319336,1751967048.923756,2025-07-08 11:30:48.923756,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
16,22.2913818359375,1751967118.4667778,2025-07-08 11:31:58.466778,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
17,22.362680435180664,1751967188.2159207,2025-07-08 11:33:08.215921,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
18,22.40825080871582,1751967258.2136996,2025-07-08 11:34:18.213700,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
19,22.45738983154297,1751967327.7505748,2025-07-08 11:35:27.750575,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
20,22.484256744384766,1751967397.5732317,2025-07-08 11:36:37.573232,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
21,22.54367446899414,1751967496.547533,2025-07-08 11:38:16.547533,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
22,22.58935546875,1751967565.4971702,2025-07-08 11:39:25.497170,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
23,22.61576271057129,1751967633.717998,2025-07-08 11:40:33.717998,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
24,22.656707763671875,1751967705.5066798,2025-07-08 11:41:45.506680,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
25,22.66862678527832,1751967771.3674264,2025-07-08 11:42:51.367426,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
26,22.713979721069336,1751967840.1213086,2025-07-08 11:44:00.121309,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
27,22.740705490112305,1751967910.1289659,2025-07-08 11:45:10.128966,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
28,22.742021560668945,1751967982.7586563,2025-07-08 11:46:22.758656,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
29,22.77408218383789,1751968060.6959965,2025-07-08 11:47:40.695997,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
30,22.803136825561523,1751968141.2056434,2025-07-08 11:49:01.205643,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
31,22.825637817382812,1751968246.7602775,2025-07-08 11:50:46.760278,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
32,22.852834701538086,1751968324.884217,2025-07-08 11:52:04.884217,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
33,22.87385368347168,1751968403.6955347,2025-07-08 11:53:23.695535,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
34,22.884828567504883,1751968482.6163542,2025-07-08 11:54:42.616354,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
35,22.90106964111328,1751968561.0355203,2025-07-08 11:56:01.035520,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
36,22.942893981933594,1751968641.4851687,2025-07-08 11:57:21.485169,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
37,22.94590187072754,1751968720.2293313,2025-07-08 11:58:40.229331,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
38,22.968719482421875,1751968799.287509,2025-07-08 11:59:59.287509,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
39,22.9650821685791,1751968877.6880853,2025-07-08 12:01:17.688085,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
40,22.9853458404541,1751968956.0408602,2025-07-08 12:02:36.040860,630,VAE,VAE_experiment_20250708_111303_VAE_0.001_80_20_0.01_50_5_KaimingNormal_630
