step,value,wall_time,timestamp,seed,model,run_name
1,153.45252990722656,1751953913.3573968,2025-07-08 07:51:53.357397,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
2,122.49134826660156,1751953982.8822162,2025-07-08 07:53:02.882216,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
3,115.126708984375,1751954052.904992,2025-07-08 07:54:12.904992,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
4,111.18388366699219,1751954122.453877,2025-07-08 07:55:22.453877,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
5,108.01744079589844,1751954192.8343024,2025-07-08 07:56:32.834302,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
6,106.69103240966797,1751954263.4292603,2025-07-08 07:57:43.429260,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
7,105.5689926147461,1751954333.0926504,2025-07-08 07:58:53.092650,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
8,104.70136260986328,1751954402.4513247,2025-07-08 08:00:02.451325,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
9,103.98469543457031,1751954471.3865001,2025-07-08 08:01:11.386500,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
10,103.34272003173828,1751954540.6094282,2025-07-08 08:02:20.609428,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
11,102.8173599243164,1751954635.4295642,2025-07-08 08:03:55.429564,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
12,102.31735229492188,1751954704.47117,2025-07-08 08:05:04.471170,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
13,101.93277740478516,1751954773.82274,2025-07-08 08:06:13.822740,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
14,100.89315795898438,1751954843.5683427,2025-07-08 08:07:23.568343,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
15,100.61466217041016,1751954913.4366784,2025-07-08 08:08:33.436678,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
16,100.34583282470703,1751954983.8962498,2025-07-08 08:09:43.896250,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
17,100.14908599853516,1751955053.7195535,2025-07-08 08:10:53.719553,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
18,99.95093536376953,1751955122.9393566,2025-07-08 08:12:02.939357,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
19,99.72294616699219,1751955192.8021727,2025-07-08 08:13:12.802173,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
20,99.54080963134766,1751955264.14559,2025-07-08 08:14:24.145590,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
21,99.32576751708984,1751955357.9757195,2025-07-08 08:15:57.975719,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
22,99.1865234375,1751955427.4220355,2025-07-08 08:17:07.422035,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
23,99.05252838134766,1751955496.5931287,2025-07-08 08:18:16.593129,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
24,98.86680603027344,1751955567.2285857,2025-07-08 08:19:27.228586,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
25,98.71820831298828,1751955636.9072058,2025-07-08 08:20:36.907206,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
26,98.64798736572266,1751955706.9378705,2025-07-08 08:21:46.937871,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
27,98.50066375732422,1751955776.2305007,2025-07-08 08:22:56.230501,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
28,98.40480041503906,1751955846.7435772,2025-07-08 08:24:06.743577,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
29,98.29434967041016,1751955916.7473047,2025-07-08 08:25:16.747305,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
30,98.1684799194336,1751955985.9728127,2025-07-08 08:26:25.972813,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
31,98.03484344482422,1751956080.101654,2025-07-08 08:28:00.101654,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
32,97.9615707397461,1751956150.016703,2025-07-08 08:29:10.016703,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
33,97.82624053955078,1751956218.881963,2025-07-08 08:30:18.881963,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
34,97.7851333618164,1751956288.9391923,2025-07-08 08:31:28.939192,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
35,97.70642852783203,1751956358.8211837,2025-07-08 08:32:38.821184,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
36,97.56715393066406,1751956429.506283,2025-07-08 08:33:49.506283,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
37,97.48763275146484,1751956503.7745426,2025-07-08 08:35:03.774543,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
38,97.44734954833984,1751956577.0659678,2025-07-08 08:36:17.065968,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
39,97.39781951904297,1751956654.103738,2025-07-08 08:37:34.103738,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
40,97.2236099243164,1751956728.837837,2025-07-08 08:38:48.837837,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
41,96.66902160644531,1751956818.4808414,2025-07-08 08:40:18.480841,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
42,96.59723663330078,1751956887.7518785,2025-07-08 08:41:27.751878,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
43,96.53192901611328,1751956957.2997875,2025-07-08 08:42:37.299788,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
44,96.4295883178711,1751957026.6713061,2025-07-08 08:43:46.671306,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
45,96.39925384521484,1751957096.2593358,2025-07-08 08:44:56.259336,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
46,96.38899230957031,1751957166.2693186,2025-07-08 08:46:06.269319,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
47,96.29214477539062,1751957235.9745483,2025-07-08 08:47:15.974548,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
48,96.19422149658203,1751957305.7500522,2025-07-08 08:48:25.750052,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
49,96.22274017333984,1751957375.2178667,2025-07-08 08:49:35.217867,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
50,96.18018341064453,1751957445.689604,2025-07-08 08:50:45.689604,630,VAE,VAE_experiment_20250708_075050_VAE_0.001_80_20_0.01_50_5_KaimingUni_630
