step,value,wall_time,timestamp,seed,model,run_name
1,161.6578369140625,1752626887.254695,2025-07-16 02:48:07.254695,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
2,129.68064880371094,1752626952.4078782,2025-07-16 02:49:12.407878,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
3,121.77265930175781,1752627017.2054124,2025-07-16 02:50:17.205412,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
4,116.97325897216797,1752627081.6133559,2025-07-16 02:51:21.613356,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
5,113.13043975830078,1752627146.1043618,2025-07-16 02:52:26.104362,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
6,111.08116912841797,1752627210.640985,2025-07-16 02:53:30.640985,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
7,109.66780090332031,1752627274.5910647,2025-07-16 02:54:34.591065,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
8,108.47459411621094,1752627338.7984617,2025-07-16 02:55:38.798462,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
9,107.56131744384766,1752627402.9071512,2025-07-16 02:56:42.907151,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
10,106.68988800048828,1752627466.3464918,2025-07-16 02:57:46.346492,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
11,106.09884643554688,1752627530.610841,2025-07-16 02:58:50.610841,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
12,105.46845245361328,1752627593.5299616,2025-07-16 02:59:53.529962,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
13,104.96324157714844,1752627657.722161,2025-07-16 03:00:57.722161,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
14,103.62945556640625,1752627721.550239,2025-07-16 03:02:01.550239,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
15,103.31909942626953,1752627785.5524762,2025-07-16 03:03:05.552476,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
16,102.89830780029297,1752627849.7945664,2025-07-16 03:04:09.794566,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
17,102.57695007324219,1752627914.2546768,2025-07-16 03:05:14.254677,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
18,102.36724853515625,1752627978.183485,2025-07-16 03:06:18.183485,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
19,102.04918670654297,1752628042.0776303,2025-07-16 03:07:22.077630,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
20,101.8559799194336,1752628106.0831788,2025-07-16 03:08:26.083179,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
21,101.5760269165039,1752628170.6214368,2025-07-16 03:09:30.621437,924,VAE,VAE_experiment_20250716_024709_VAE_0.001_80_20_0.01_50_1_KaimingNormal_924
