step,value,wall_time,timestamp,seed,model,run_name
1,0.05813739448785782,1752695022.8792672,2025-07-16 21:43:42.879267,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
2,0.021089131012558937,1752695088.0295806,2025-07-16 21:44:48.029581,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
3,0.014415615238249302,1752695153.8251345,2025-07-16 21:45:53.825135,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
4,0.013267667032778263,1752695218.7045307,2025-07-16 21:46:58.704531,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
5,0.01303988415747881,1752695284.259594,2025-07-16 21:48:04.259594,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
6,0.013303748331964016,1752695348.9569042,2025-07-16 21:49:08.956904,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
7,0.013446548953652382,1752695414.1728292,2025-07-16 21:50:14.172829,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
8,0.013974032364785671,1752695479.403521,2025-07-16 21:51:19.403521,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
9,0.014135882258415222,1752695544.466461,2025-07-16 21:52:24.466461,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
10,0.014542927034199238,1752695609.2502413,2025-07-16 21:53:29.250241,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
11,0.014470391906797886,1752695673.7684324,2025-07-16 21:54:33.768432,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
12,0.014215976931154728,1752695738.5097997,2025-07-16 21:55:38.509800,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
13,0.01479983702301979,1752695803.563451,2025-07-16 21:56:43.563451,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
14,0.014372135512530804,1752695868.6807704,2025-07-16 21:57:48.680770,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
15,0.01481015607714653,1752695933.7843716,2025-07-16 21:58:53.784372,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
16,0.014899696223437786,1752695999.1618698,2025-07-16 21:59:59.161870,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
17,0.015316067263484001,1752696063.8994088,2025-07-16 22:01:03.899409,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
18,0.014930691570043564,1752696128.818824,2025-07-16 22:02:08.818824,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
19,0.014976288191974163,1752696193.5935755,2025-07-16 22:03:13.593575,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
20,0.015085478313267231,1752696258.5252156,2025-07-16 22:04:18.525216,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
21,0.01519582886248827,1752696323.616627,2025-07-16 22:05:23.616627,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
22,0.015242830850183964,1752696387.848479,2025-07-16 22:06:27.848479,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
23,0.015184450894594193,1752696452.3361077,2025-07-16 22:07:32.336108,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
24,0.01549155917018652,1752696516.581401,2025-07-16 22:08:36.581401,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
25,0.015411763451993465,1752696582.2195308,2025-07-16 22:09:42.219531,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
26,0.015349180437624454,1752696647.3879416,2025-07-16 22:10:47.387942,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
27,0.015525656752288342,1752696712.6279018,2025-07-16 22:11:52.627902,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
28,0.015546008944511414,1752696777.7562387,2025-07-16 22:12:57.756239,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
29,0.01595895178616047,1752696842.8521218,2025-07-16 22:14:02.852122,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
30,0.0159293320029974,1752696908.281095,2025-07-16 22:15:08.281095,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
31,0.015783388167619705,1752696973.6043575,2025-07-16 22:16:13.604357,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
32,0.016024673357605934,1752697037.9407904,2025-07-16 22:17:17.940790,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
33,0.016029253602027893,1752697102.7124403,2025-07-16 22:18:22.712440,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
34,0.015829788520932198,1752697167.3337855,2025-07-16 22:19:27.333786,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
35,0.016169799491763115,1752697231.794828,2025-07-16 22:20:31.794828,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
36,0.015804339200258255,1752697296.4806738,2025-07-16 22:21:36.480674,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
37,0.016087830066680908,1752697361.754891,2025-07-16 22:22:41.754891,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
38,0.01619914174079895,1752697427.1388214,2025-07-16 22:23:47.138821,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
39,0.016240403056144714,1752697492.250541,2025-07-16 22:24:52.250541,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
40,0.016178468242287636,1752697556.9789612,2025-07-16 22:25:56.978961,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
41,0.015868207439780235,1752697621.9599533,2025-07-16 22:27:01.959953,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
42,0.015650145709514618,1752697686.4884439,2025-07-16 22:28:06.488444,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
43,0.01611146330833435,1752697752.1427653,2025-07-16 22:29:12.142765,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
44,0.016123613342642784,1752697817.2814417,2025-07-16 22:30:17.281442,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
45,0.016148962080478668,1752697881.8306217,2025-07-16 22:31:21.830622,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
46,0.01614498719573021,1752697946.8796973,2025-07-16 22:32:26.879697,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
47,0.01623784936964512,1752698012.0848606,2025-07-16 22:33:32.084861,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
48,0.016059717163443565,1752698076.7387564,2025-07-16 22:34:36.738756,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
49,0.016235584393143654,1752698142.7857506,2025-07-16 22:35:42.785751,10,VAE,VAE_experiment_20250716_214244_VAE_0.001_80_20_0.01_50_1_XavierNormal_10
