step,value,wall_time,timestamp,seed,model,run_name
1,159.7213897705078,1752684166.995949,2025-07-16 18:42:46.995949,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
2,113.36144256591797,1752684233.0298688,2025-07-16 18:43:53.029869,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
3,103.09920501708984,1752684298.1157317,2025-07-16 18:44:58.115732,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
4,97.36174774169922,1752684362.5347714,2025-07-16 18:46:02.534771,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
5,92.77124786376953,1752684427.1106627,2025-07-16 18:47:07.110663,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
6,90.40938568115234,1752684491.4826822,2025-07-16 18:48:11.482682,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
7,88.80175018310547,1752684556.084977,2025-07-16 18:49:16.084977,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
8,87.4702377319336,1752684621.2016716,2025-07-16 18:50:21.201672,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
9,86.26641845703125,1752684686.436948,2025-07-16 18:51:26.436948,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
10,85.21849060058594,1752684751.0012512,2025-07-16 18:52:31.001251,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
11,84.34590911865234,1752684815.6058643,2025-07-16 18:53:35.605864,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
12,83.38031768798828,1752684880.1030734,2025-07-16 18:54:40.103073,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
13,82.6217269897461,1752684944.991548,2025-07-16 18:55:44.991548,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
14,81.1609878540039,1752685010.2218707,2025-07-16 18:56:50.221871,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
15,80.67726135253906,1752685074.9869964,2025-07-16 18:57:54.986996,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
16,80.30371856689453,1752685139.6595695,2025-07-16 18:58:59.659570,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
17,79.87965393066406,1752685204.5091362,2025-07-16 19:00:04.509136,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
18,79.52931213378906,1752685269.8969994,2025-07-16 19:01:09.896999,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
19,79.18956756591797,1752685335.0889165,2025-07-16 19:02:15.088917,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
20,78.83708953857422,1752685400.5876772,2025-07-16 19:03:20.587677,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
21,78.5997543334961,1752685466.0641258,2025-07-16 19:04:26.064126,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
22,78.33736419677734,1752685530.762557,2025-07-16 19:05:30.762557,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
23,78.16378784179688,1752685595.949266,2025-07-16 19:06:35.949266,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
24,77.9415283203125,1752685660.7629712,2025-07-16 19:07:40.762971,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
25,77.70375061035156,1752685725.0903068,2025-07-16 19:08:45.090307,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
26,77.47041320800781,1752685790.0398839,2025-07-16 19:09:50.039884,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
27,77.35710144042969,1752685854.9892132,2025-07-16 19:10:54.989213,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
28,77.08976745605469,1752685919.8598592,2025-07-16 19:11:59.859859,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
29,76.96097564697266,1752685985.146827,2025-07-16 19:13:05.146827,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
30,76.79180145263672,1752686050.0568573,2025-07-16 19:14:10.056857,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
31,76.7111587524414,1752686114.757,2025-07-16 19:15:14.757000,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
32,76.50463104248047,1752686180.022188,2025-07-16 19:16:20.022188,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
33,76.3586654663086,1752686245.5654764,2025-07-16 19:17:25.565476,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
34,76.2733383178711,1752686310.2619946,2025-07-16 19:18:30.261995,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
35,76.1631851196289,1752686375.223945,2025-07-16 19:19:35.223945,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
36,76.03962707519531,1752686440.1846054,2025-07-16 19:20:40.184605,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
37,75.90904235839844,1752686504.5432377,2025-07-16 19:21:44.543238,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
38,75.82122039794922,1752686569.843001,2025-07-16 19:22:49.843001,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
39,75.72651672363281,1752686633.8869967,2025-07-16 19:23:53.886997,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
40,75.5668716430664,1752686698.0491612,2025-07-16 19:24:58.049161,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
41,74.81561279296875,1752686762.5918388,2025-07-16 19:26:02.591839,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
42,74.70541381835938,1752686826.5215237,2025-07-16 19:27:06.521524,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
43,74.59378051757812,1752686891.6639898,2025-07-16 19:28:11.663990,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
44,74.54759216308594,1752686956.631732,2025-07-16 19:29:16.631732,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
45,74.4542236328125,1752687022.1744487,2025-07-16 19:30:22.174449,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
46,74.32127380371094,1752687087.078255,2025-07-16 19:31:27.078255,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
47,74.25325012207031,1752687152.0889382,2025-07-16 19:32:32.088938,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
48,74.1745376586914,1752687217.3938491,2025-07-16 19:33:37.393849,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
49,74.1199951171875,1752687282.1509159,2025-07-16 19:34:42.150916,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
50,74.09496307373047,1752687347.4505098,2025-07-16 19:35:47.450510,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
51,73.98399353027344,1752687412.4397366,2025-07-16 19:36:52.439737,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
52,73.95674896240234,1752687476.9259665,2025-07-16 19:37:56.925967,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
53,73.8987045288086,1752687541.7243237,2025-07-16 19:39:01.724324,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
54,73.84788513183594,1752687606.8653283,2025-07-16 19:40:06.865328,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
55,73.69499969482422,1752687672.3495777,2025-07-16 19:41:12.349578,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
56,73.66007995605469,1752687736.720851,2025-07-16 19:42:16.720851,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
57,73.62173461914062,1752687802.2095096,2025-07-16 19:43:22.209510,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
58,73.60905456542969,1752687867.0168467,2025-07-16 19:44:27.016847,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
59,73.50439453125,1752687931.7279992,2025-07-16 19:45:31.727999,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
60,73.4686279296875,1752687996.2693293,2025-07-16 19:46:36.269329,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
61,73.40670013427734,1752688060.9634094,2025-07-16 19:47:40.963409,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
