step,value,wall_time,timestamp,seed,model,run_name
1,0.6390542984008789,1752684166.995949,2025-07-16 18:42:46.995949,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
2,0.1611814945936203,1752684233.031922,2025-07-16 18:43:53.031922,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
3,0.14578932523727417,1752684298.1177354,2025-07-16 18:44:58.117735,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
4,0.13452665507793427,1752684362.5347714,2025-07-16 18:46:02.534771,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
5,0.13100354373455048,1752684427.1117282,2025-07-16 18:47:07.111728,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
6,0.131364643573761,1752684491.4826822,2025-07-16 18:48:11.482682,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
7,0.12759293615818024,1752684556.0867226,2025-07-16 18:49:16.086723,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
8,0.12310392409563065,1752684621.2016716,2025-07-16 18:50:21.201672,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
9,0.12530268728733063,1752684686.438692,2025-07-16 18:51:26.438692,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
10,0.12232562154531479,1752684751.0012512,2025-07-16 18:52:31.001251,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
11,0.12217085808515549,1752684815.6058643,2025-07-16 18:53:35.605864,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
12,0.11824605613946915,1752684880.1030734,2025-07-16 18:54:40.103073,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
13,0.12118285149335861,1752684944.9935575,2025-07-16 18:55:44.993557,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
14,0.11968828737735748,1752685010.2218707,2025-07-16 18:56:50.221871,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
15,0.11427487432956696,1752685074.995407,2025-07-16 18:57:54.995407,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
16,0.11634498834609985,1752685139.6595695,2025-07-16 18:58:59.659570,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
17,0.1166643351316452,1752685204.5091362,2025-07-16 19:00:04.509136,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
18,0.11583732813596725,1752685269.8969994,2025-07-16 19:01:09.896999,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
19,0.11451014131307602,1752685335.0889165,2025-07-16 19:02:15.088917,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
20,0.11777403950691223,1752685400.5876772,2025-07-16 19:03:20.587677,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
21,0.1149616688489914,1752685466.0662608,2025-07-16 19:04:26.066261,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
22,0.11605766415596008,1752685530.76456,2025-07-16 19:05:30.764560,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
23,0.11253651231527328,1752685595.951303,2025-07-16 19:06:35.951303,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
24,0.11509767174720764,1752685660.7629712,2025-07-16 19:07:40.762971,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
25,0.11365196108818054,1752685725.0903068,2025-07-16 19:08:45.090307,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
26,0.11183080822229385,1752685790.0398839,2025-07-16 19:09:50.039884,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
27,0.1129256933927536,1752685854.991231,2025-07-16 19:10:54.991231,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
28,0.11476729810237885,1752685919.8618705,2025-07-16 19:11:59.861871,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
29,0.11377034336328506,1752685985.1488492,2025-07-16 19:13:05.148849,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
30,0.11450599133968353,1752686050.0568573,2025-07-16 19:14:10.056857,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
31,0.11209782212972641,1752686114.7590034,2025-07-16 19:15:14.759003,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
32,0.11215095967054367,1752686180.0241923,2025-07-16 19:16:20.024192,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
33,0.11157190799713135,1752686245.5665953,2025-07-16 19:17:25.566595,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
34,0.11167625337839127,1752686310.2634985,2025-07-16 19:18:30.263499,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
35,0.11399875581264496,1752686375.223945,2025-07-16 19:19:35.223945,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
36,0.11280247569084167,1752686440.1866248,2025-07-16 19:20:40.186625,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
37,0.11152417957782745,1752686504.5432377,2025-07-16 19:21:44.543238,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
38,0.11101717501878738,1752686569.843001,2025-07-16 19:22:49.843001,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
39,0.1096334382891655,1752686633.8892248,2025-07-16 19:23:53.889225,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
40,0.11238294094800949,1752686698.051164,2025-07-16 19:24:58.051164,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
41,0.11072731018066406,1752686762.5918388,2025-07-16 19:26:02.591839,10,VAE,VAE_experiment_20250716_184149_VAE_0.001_80_20_0.01_50_1_XavierUni_10
