step,value,wall_time,timestamp,seed,model,run_name
1,145.75711059570312,1752649287.3374774,2025-07-16 09:01:27.337477,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
2,104.74954223632812,1752649356.9973066,2025-07-16 09:02:36.997307,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
3,97.35453796386719,1752649427.8600838,2025-07-16 09:03:47.860084,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
4,92.87102508544922,1752649497.4930732,2025-07-16 09:04:57.493073,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
5,89.5137939453125,1752649566.8249063,2025-07-16 09:06:06.824906,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
6,87.7210693359375,1752649636.7056913,2025-07-16 09:07:16.705691,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
7,86.10401916503906,1752649706.653661,2025-07-16 09:08:26.653661,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
8,84.96829223632812,1752649777.465155,2025-07-16 09:09:37.465155,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
9,83.97303009033203,1752649847.8121653,2025-07-16 09:10:47.812165,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
10,83.1441421508789,1752649918.5344949,2025-07-16 09:11:58.534495,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
11,82.46102142333984,1752649988.892394,2025-07-16 09:13:08.892394,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
12,81.78318786621094,1752650059.252475,2025-07-16 09:14:19.252475,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
13,81.20001220703125,1752650129.266229,2025-07-16 09:15:29.266229,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
14,79.97560119628906,1752650198.9077985,2025-07-16 09:16:38.907799,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
15,79.52200317382812,1752650268.7214804,2025-07-16 09:17:48.721480,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
16,79.21778106689453,1752650338.7930157,2025-07-16 09:18:58.793016,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
17,78.75245666503906,1752650408.7012215,2025-07-16 09:20:08.701221,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
18,78.43067169189453,1752650478.5166178,2025-07-16 09:21:18.516618,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
19,78.10352325439453,1752650548.4587224,2025-07-16 09:22:28.458722,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
20,77.8469467163086,1752650618.9793606,2025-07-16 09:23:38.979361,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
21,77.55085754394531,1752650688.5836427,2025-07-16 09:24:48.583643,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
22,77.3119888305664,1752650758.1347852,2025-07-16 09:25:58.134785,924,VAE,VAE_experiment_20250716_090025_VAE_0.001_80_20_0.01_50_5_XavierNormal_924
