step,value,wall_time,timestamp,seed,model,run_name
1,0.6419491767883301,1752750985.764273,2025-07-17 13:16:25.764273,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
2,0.1385578215122223,1752751055.3660288,2025-07-17 13:17:35.366029,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
3,0.12818460166454315,1752751124.9885561,2025-07-17 13:18:44.988556,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
4,0.11822434514760971,1752751194.914853,2025-07-17 13:19:54.914853,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
5,0.11406975239515305,1752751264.5846972,2025-07-17 13:21:04.584697,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
6,0.11304116249084473,1752751333.7929356,2025-07-17 13:22:13.792936,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
7,0.10775452852249146,1752751402.7429879,2025-07-17 13:23:22.742988,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
8,0.10820586234331131,1752751472.1673415,2025-07-17 13:24:32.167341,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
9,0.10545416921377182,1752751541.8924677,2025-07-17 13:25:41.892468,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
10,0.10720641911029816,1752751611.600685,2025-07-17 13:26:51.600685,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
11,0.10382763296365738,1752751680.832208,2025-07-17 13:28:00.832208,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
12,0.10360478609800339,1752751751.441042,2025-07-17 13:29:11.441042,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
13,0.10139644891023636,1752751821.4966798,2025-07-17 13:30:21.496680,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
14,0.10028170794248581,1752751891.232875,2025-07-17 13:31:31.232875,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
15,0.10036689043045044,1752751960.851849,2025-07-17 13:32:40.851849,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
16,0.0987066924571991,1752752031.009425,2025-07-17 13:33:51.009425,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
17,0.09962238371372223,1752752100.958552,2025-07-17 13:35:00.958552,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
18,0.09830614179372787,1752752170.3171074,2025-07-17 13:36:10.317107,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
19,0.0996350422501564,1752752240.0407941,2025-07-17 13:37:20.040794,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
20,0.10162130743265152,1752752309.5214133,2025-07-17 13:38:29.521413,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
21,0.09978006035089493,1752752379.2251341,2025-07-17 13:39:39.225134,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
22,0.09724021703004837,1752752448.2107978,2025-07-17 13:40:48.210798,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
23,0.09951526671648026,1752752517.7921233,2025-07-17 13:41:57.792123,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
24,0.09533600509166718,1752752586.9630153,2025-07-17 13:43:06.963015,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
25,0.09673351794481277,1752752657.0086453,2025-07-17 13:44:17.008645,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
26,0.09694068878889084,1752752727.022368,2025-07-17 13:45:27.022368,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
27,0.09532606601715088,1752752796.7716813,2025-07-17 13:46:36.771681,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
28,0.09630151838064194,1752752866.480232,2025-07-17 13:47:46.480232,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
29,0.09810296446084976,1752752936.233482,2025-07-17 13:48:56.233482,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
30,0.09605398029088974,1752753006.2978215,2025-07-17 13:50:06.297822,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
31,0.09547418355941772,1752753075.6372108,2025-07-17 13:51:15.637211,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
32,0.09702979773283005,1752753145.009825,2025-07-17 13:52:25.009825,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
33,0.09448546916246414,1752753214.5308158,2025-07-17 13:53:34.530816,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
34,0.09474316984415054,1752753284.293768,2025-07-17 13:54:44.293768,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
35,0.09344561398029327,1752753353.727211,2025-07-17 13:55:53.727211,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
36,0.09555906802415848,1752753422.6081533,2025-07-17 13:57:02.608153,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
37,0.09548992663621902,1752753494.478127,2025-07-17 13:58:14.478127,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
38,0.09675616025924683,1752753564.3457477,2025-07-17 13:59:24.345748,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
39,0.09245459735393524,1752753634.220833,2025-07-17 14:00:34.220833,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
40,0.09495975822210312,1752753703.835858,2025-07-17 14:01:43.835858,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
41,0.09430529922246933,1752753773.7192428,2025-07-17 14:02:53.719243,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
42,0.09419868141412735,1752753843.390208,2025-07-17 14:04:03.390208,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
43,0.09197505563497543,1752753912.4178994,2025-07-17 14:05:12.417899,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
44,0.09317570924758911,1752753981.963192,2025-07-17 14:06:21.963192,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
45,0.09356419742107391,1752754051.2971497,2025-07-17 14:07:31.297150,10,VAE,VAE_experiment_20250717_131523_VAE_0.001_80_20_0.01_50_5_KaimingUni_10
