step,value,wall_time,timestamp,seed,model,run_name
1,11.370067596435547,1752739290.9814134,2025-07-17 10:01:30.981413,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
2,16.732328414916992,1752739360.1000881,2025-07-17 10:02:40.100088,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
3,18.56711769104004,1752739429.0278378,2025-07-17 10:03:49.027838,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
4,19.491323471069336,1752739498.9009614,2025-07-17 10:04:58.900961,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
5,20.129308700561523,1752739568.0433838,2025-07-17 10:06:08.043384,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
6,20.498130798339844,1752739637.03952,2025-07-17 10:07:17.039520,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
7,20.8465518951416,1752739706.0982363,2025-07-17 10:08:26.098236,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
8,21.128202438354492,1752739776.123064,2025-07-17 10:09:36.123064,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
9,21.31890106201172,1752739845.3919265,2025-07-17 10:10:45.391927,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
10,21.486413955688477,1752739914.87144,2025-07-17 10:11:54.871440,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
11,21.617088317871094,1752739984.7070048,2025-07-17 10:13:04.707005,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
12,21.734453201293945,1752740055.1053061,2025-07-17 10:14:15.105306,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
13,21.83723258972168,1752740124.3799496,2025-07-17 10:15:24.379950,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
14,21.906021118164062,1752740193.4236953,2025-07-17 10:16:33.423695,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
15,21.984926223754883,1752740262.777736,2025-07-17 10:17:42.777736,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
16,22.05371856689453,1752740332.342693,2025-07-17 10:18:52.342693,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
17,22.109195709228516,1752740401.9139905,2025-07-17 10:20:01.913990,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
18,22.17969512939453,1752740471.1217206,2025-07-17 10:21:11.121721,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
19,22.22364044189453,1752740540.52545,2025-07-17 10:22:20.525450,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
20,22.274322509765625,1752740609.6043725,2025-07-17 10:23:29.604373,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
21,22.295310974121094,1752740678.4126878,2025-07-17 10:24:38.412688,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
22,22.36587142944336,1752740747.3363576,2025-07-17 10:25:47.336358,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
23,22.397933959960938,1752740817.3809109,2025-07-17 10:26:57.380911,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
24,22.424484252929688,1752740886.6414912,2025-07-17 10:28:06.641491,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
25,22.47511863708496,1752740956.8336813,2025-07-17 10:29:16.833681,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
26,22.496410369873047,1752741026.5088515,2025-07-17 10:30:26.508852,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
27,22.526723861694336,1752741096.3695672,2025-07-17 10:31:36.369567,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
28,22.563823699951172,1752741166.1222064,2025-07-17 10:32:46.122206,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
29,22.573665618896484,1752741235.1633584,2025-07-17 10:33:55.163358,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
30,22.610435485839844,1752741304.6946552,2025-07-17 10:35:04.694655,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
31,22.62689208984375,1752741374.2279122,2025-07-17 10:36:14.227912,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
32,22.644018173217773,1752741442.878327,2025-07-17 10:37:22.878327,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
33,22.672840118408203,1752741512.4591331,2025-07-17 10:38:32.459133,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
34,22.69455909729004,1752741581.5497036,2025-07-17 10:39:41.549704,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
35,22.70973014831543,1752741650.6715817,2025-07-17 10:40:50.671582,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
36,22.74013328552246,1752741720.5113516,2025-07-17 10:42:00.511352,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
37,22.744823455810547,1752741789.9614737,2025-07-17 10:43:09.961474,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
38,22.768875122070312,1752741859.9757605,2025-07-17 10:44:19.975760,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
39,22.7930908203125,1752741929.2805033,2025-07-17 10:45:29.280503,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
40,22.80533790588379,1752741998.539849,2025-07-17 10:46:38.539849,10,VAE,VAE_experiment_20250717_100029_VAE_0.001_80_20_0.01_50_5_XavierNormal_10
