step,value,wall_time,timestamp,seed,model,run_name
1,0.055798690766096115,1752727581.686641,2025-07-17 06:46:21.686641,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
2,0.015728211030364037,1752727651.6729226,2025-07-17 06:47:31.672923,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
3,0.012866320088505745,1752727721.0421169,2025-07-17 06:48:41.042117,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
4,0.011763115413486958,1752727791.257071,2025-07-17 06:49:51.257071,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
5,0.011616868898272514,1752727860.8072488,2025-07-17 06:51:00.807249,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
6,0.01198677346110344,1752727930.7269404,2025-07-17 06:52:10.726940,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
7,0.012172265909612179,1752727999.1860902,2025-07-17 06:53:19.186090,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
8,0.012724791653454304,1752728069.0044882,2025-07-17 06:54:29.004488,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
9,0.012830851599574089,1752728137.818861,2025-07-17 06:55:37.818861,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
10,0.013005878776311874,1752728206.9464426,2025-07-17 06:56:46.946443,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
11,0.01321595162153244,1752728276.097034,2025-07-17 06:57:56.097034,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
12,0.013444541022181511,1752728345.8363593,2025-07-17 06:59:05.836359,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
13,0.01420584972947836,1752728415.3917465,2025-07-17 07:00:15.391747,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
14,0.013652338646352291,1752728484.742291,2025-07-17 07:01:24.742291,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
15,0.013976836577057838,1752728553.9751062,2025-07-17 07:02:33.975106,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
16,0.01398536004126072,1752728623.1940467,2025-07-17 07:03:43.194047,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
17,0.014109787531197071,1752728693.1603851,2025-07-17 07:04:53.160385,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
18,0.014148912392556667,1752728762.0586555,2025-07-17 07:06:02.058656,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
19,0.01465944666415453,1752728830.8352726,2025-07-17 07:07:10.835273,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
20,0.014453691430389881,1752728899.5439656,2025-07-17 07:08:19.543966,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
21,0.014697426930069923,1752728968.9117677,2025-07-17 07:09:28.911768,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
22,0.015310166403651237,1752729038.1517196,2025-07-17 07:10:38.151720,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
23,0.015012812800705433,1752729107.2103283,2025-07-17 07:11:47.210328,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
24,0.015147525817155838,1752729177.1655703,2025-07-17 07:12:57.165570,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
25,0.014807011932134628,1752729247.4611204,2025-07-17 07:14:07.461120,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
26,0.01480370294302702,1752729316.616173,2025-07-17 07:15:16.616173,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
27,0.015345144085586071,1752729386.5790458,2025-07-17 07:16:26.579046,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
28,0.015167003497481346,1752729457.7026541,2025-07-17 07:17:37.702654,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
29,0.015306379646062851,1752729527.2945495,2025-07-17 07:18:47.294549,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
30,0.01571320928633213,1752729596.7149673,2025-07-17 07:19:56.714967,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
31,0.015107864513993263,1752729666.3956203,2025-07-17 07:21:06.395620,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
32,0.015525395050644875,1752729736.54715,2025-07-17 07:22:16.547150,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
33,0.015618788078427315,1752729806.4194326,2025-07-17 07:23:26.419433,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
34,0.01581765152513981,1752729876.378618,2025-07-17 07:24:36.378618,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
35,0.015357335098087788,1752729945.704573,2025-07-17 07:25:45.704573,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
36,0.015170371159911156,1752730015.7842636,2025-07-17 07:26:55.784264,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
37,0.01576497219502926,1752730086.180811,2025-07-17 07:28:06.180811,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
38,0.015637798234820366,1752730156.8350306,2025-07-17 07:29:16.835031,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
39,0.01633741334080696,1752730227.1594076,2025-07-17 07:30:27.159408,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
40,0.015640702098608017,1752730296.9846838,2025-07-17 07:31:36.984684,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
41,0.015668805688619614,1752730366.519607,2025-07-17 07:32:46.519607,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
42,0.015927882865071297,1752730436.169035,2025-07-17 07:33:56.169035,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
43,0.01539179589599371,1752730505.5264804,2025-07-17 07:35:05.526480,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
44,0.0155628751963377,1752730574.593618,2025-07-17 07:36:14.593618,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
45,0.015324746258556843,1752730644.0854452,2025-07-17 07:37:24.085445,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
46,0.01573973521590233,1752730713.5979233,2025-07-17 07:38:33.597923,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
47,0.015686199069023132,1752730783.3451846,2025-07-17 07:39:43.345185,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
48,0.01584603264927864,1752730853.0502667,2025-07-17 07:40:53.050267,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
49,0.01619798317551613,1752730922.9183588,2025-07-17 07:42:02.918359,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
50,0.016193030402064323,1752730992.8369896,2025-07-17 07:43:12.836990,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
51,0.016457712277770042,1752731062.793937,2025-07-17 07:44:22.793937,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
52,0.015873322263360023,1752731132.777104,2025-07-17 07:45:32.777104,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
53,0.016253385692834854,1752731202.0790522,2025-07-17 07:46:42.079052,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
54,0.01659204252064228,1752731271.1611032,2025-07-17 07:47:51.161103,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
55,0.015861837193369865,1752731340.7016287,2025-07-17 07:49:00.701629,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
56,0.016087621450424194,1752731410.094015,2025-07-17 07:50:10.094015,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
57,0.016610052436590195,1752731479.929665,2025-07-17 07:51:19.929665,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
58,0.015898894518613815,1752731549.2608907,2025-07-17 07:52:29.260891,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
59,0.016468312591314316,1752731618.4607112,2025-07-17 07:53:38.460711,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
60,0.016050366684794426,1752731688.158609,2025-07-17 07:54:48.158609,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
61,0.01632356084883213,1752731757.6170774,2025-07-17 07:55:57.617077,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
62,0.016304248943924904,1752731826.9460588,2025-07-17 07:57:06.946059,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
63,0.016237515956163406,1752731896.7439952,2025-07-17 07:58:16.743995,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
64,0.016215605661273003,1752731966.4947212,2025-07-17 07:59:26.494721,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
65,0.016234220936894417,1752732036.5832667,2025-07-17 08:00:36.583267,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
66,0.0165207851678133,1752732106.4582148,2025-07-17 08:01:46.458215,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
67,0.01658056490123272,1752732175.7351441,2025-07-17 08:02:55.735144,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
68,0.016457393765449524,1752732245.0715218,2025-07-17 08:04:05.071522,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
69,0.016297079622745514,1752732314.2650926,2025-07-17 08:05:14.265093,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
70,0.016108302399516106,1752732382.6928213,2025-07-17 08:06:22.692821,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
71,0.016317905858159065,1752732451.845706,2025-07-17 08:07:31.845706,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
72,0.01659984700381756,1752732521.4900463,2025-07-17 08:08:41.490046,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
73,0.016694067046046257,1752732591.9316218,2025-07-17 08:09:51.931622,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
74,0.016501324251294136,1752732661.7092695,2025-07-17 08:11:01.709270,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
75,0.01635982096195221,1752732731.7462072,2025-07-17 08:12:11.746207,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
76,0.01634754054248333,1752732801.9102068,2025-07-17 08:13:21.910207,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
77,0.016612304374575615,1752732872.0453608,2025-07-17 08:14:32.045361,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
78,0.016679977998137474,1752732942.2450986,2025-07-17 08:15:42.245099,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
79,0.016358133405447006,1752733011.703551,2025-07-17 08:16:51.703551,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
80,0.01627534255385399,1752733080.880918,2025-07-17 08:18:00.880918,10,VAE,VAE_experiment_20250717_064519_VAE_0.001_80_20_0.01_50_5_XavierUni_10
