step,value,wall_time,timestamp,seed,model,run_name
1,15.009690284729004,1752841906.049698,2025-07-18 14:31:46.049698,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
2,18.700016021728516,1752841977.1402967,2025-07-18 14:32:57.140297,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
3,20.19325828552246,1752842047.8106697,2025-07-18 14:34:07.810670,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
4,21.04439926147461,1752842118.1523497,2025-07-18 14:35:18.152350,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
5,21.515974044799805,1752842188.4801197,2025-07-18 14:36:28.480120,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
6,21.84624671936035,1752842259.0455885,2025-07-18 14:37:39.045588,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
7,22.15781021118164,1752842329.1834493,2025-07-18 14:38:49.183449,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
8,22.465017318725586,1752842399.57477,2025-07-18 14:39:59.574770,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
9,22.666427612304688,1752842470.1676462,2025-07-18 14:41:10.167646,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
10,22.838878631591797,1752842540.6808617,2025-07-18 14:42:20.680862,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
11,22.968860626220703,1752842611.140811,2025-07-18 14:43:31.140811,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
12,23.08780288696289,1752842682.150074,2025-07-18 14:44:42.150074,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
13,23.177457809448242,1752842752.8156805,2025-07-18 14:45:52.815681,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
14,23.244647979736328,1752842822.993379,2025-07-18 14:47:02.993379,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
15,23.305639266967773,1752842893.5906546,2025-07-18 14:48:13.590655,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
16,23.385374069213867,1752842963.0273066,2025-07-18 14:49:23.027307,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
17,23.446943283081055,1752843033.539075,2025-07-18 14:50:33.539075,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
18,23.5006103515625,1752843103.3801043,2025-07-18 14:51:43.380104,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
19,23.567699432373047,1752843174.1673028,2025-07-18 14:52:54.167303,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
20,23.59142303466797,1752843244.2628179,2025-07-18 14:54:04.262818,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
21,23.648799896240234,1752843315.649884,2025-07-18 14:55:15.649884,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
22,23.68238067626953,1752843386.464833,2025-07-18 14:56:26.464833,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
23,23.716398239135742,1752843456.9744575,2025-07-18 14:57:36.974458,32,VAE,VAE_experiment_20250718_143042_VAE_0.001_80_20_0.01_50_5_KaimingUni_32
